section,arm,eval_index,reason,score,n_scored,n_hypotheses,n_fit_segments,n_heldout_segments,forward_px,n_forward,reverse_px,n_reverse,feet,feet_inside,nn_median_ft
S2,ROUTEA,000343,valid,-,000000,000000,000156,000155,17.875,000398,223.860,007160,000003,000000,11.209
S2,ROUTEB,000343,valid,-,000000,000000,000317,000317,15.441,000398,248.875,011129,000003,000000,11.209
S2,G334A,000441,no_valid_h,-1.000,000000,258412,000350,000350,-,000000,-,000000,000000,000000,-
S2,G334B,000441,no_valid_h,-1.000,000000,748132,000598,000597,-,000000,-,000000,000000,000000,-
S2,ROUTEA,000441,valid,-,000000,000000,000350,000350,5.730,000398,296.618,026577,000000,000000,-
S2,ROUTEB,000441,valid,-,000000,000000,000598,000597,6.144,000398,285.902,032506,000000,000000,-
S2,G334A,000539,no_valid_h,-1.000,000000,266932,000432,000431,-,000000,-,000000,000000,000000,-
S2,G334B,000539,no_valid_h,-1.000,000000,1039984,000676,000676,-,000000,-,000000,000000,000000,-
S2,ROUTEA,000539,valid,-,000000,000000,000432,000431,11.270,000398,298.633,034584,000000,000000,-
S2,ROUTEB,000539,valid,-,000000,000000,000676,000676,5.730,000398,298.847,039770,000000,000000,-
S2,G334A,000637,no_valid_h,0.081,000094,541880,000153,000152,-,000000,-,000000,000002,000000,-
S2,G334B,000637,no_valid_h,-1.000,000000,1659692,000307,000307,-,000000,-,000000,000002,000000,-
S2,ROUTEA,000637,valid,-,000000,000000,000153,000152,21.712,000398,318.520,008004,000002,000000,322.786
S2,ROUTEB,000637,valid,-,000000,000000,000307,000307,8.054,000398,292.306,011469,000002,000000,322.786
S2,G334A,000735,no_valid_h,-1.000,000000,439684,000342,000341,-,000000,-,000000,000000,000000,-
S2,G334B,000735,no_valid_h,-1.000,000000,1353584,000556,000556,-,000000,-,000000,000000,000000,-
S2,ROUTEA,000735,valid,-,000000,000000,000342,000341,16.558,000398,374.458,021645,000000,000000,-
S2,ROUTEB,000735,valid,-,000000,000000,000556,000556,12.289,000398,364.619,026273,000000,000000,-
S2,G334A,000833,valid,0.690,000103,545032,000097,000096,3.820,000103,495.455,007803,000000,000000,-
S2,G334B,000833,no_valid_h,0.169,000307,1590188,000178,000177,-,000000,-,000000,000000,000000,-
S2,ROUTEA,000833,valid,-,000000,000000,000097,000096,79.156,000398,242.387,007803,000000,000000,-
S2,ROUTEB,000833,valid,-,000000,000000,000178,000177,25.785,000398,220.134,008350,000000,000000,-
S2,G334A,000931,no_valid_h,0.219,000081,443352,000050,000050,-,000000,-,000000,000001,000000,-
S2,G334B,000931,valid,0.315,000077,1365220,000089,000089,66.850,000077,491.488,003946,000001,000000,-
S2,ROUTEA,000931,valid,-,000000,000000,000050,000050,48.786,000398,270.503,003300,000001,000000,-
S2,ROUTEB,000931,valid,-,000000,000000,000089,000089,48.326,000398,309.096,003946,000001,000000,-
S2,G334A,001029,no_valid_h,-1.000,000000,402200,000173,000172,-,000000,-,000000,000000,000000,-
S2,G334B,001029,no_valid_h,-1.000,000000,1160252,000301,000300,-,000000,-,000000,000000,000000,-
S2,ROUTEA,001029,valid,-,000000,000000,000173,000172,6.685,000398,315.831,011518,000000,000000,-
S2,ROUTEB,001029,valid,-,000000,000000,000301,000300,4.775,000398,289.751,015597,000000,000000,-
S2,G334A,001127,no_valid_h,-1.000,000000,231396,000108,000108,-,000000,-,000000,000000,000000,-
S2,G334B,001127,no_valid_h,-1.000,000000,783072,000188,000188,-,000000,-,000000,000000,000000,-
