draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,position_source,repeated_coordinate,rows,target_weight_1
720p60,7blRl4zVfrY_s3489,3481,4081,PREDICTION,0,167,0
720p60,7blRl4zVfrY_s3489,3481,4081,SUBPIXEL,1,3,0
1080p30,yZ5u2sOpiNU_s1371,1857,2157,DETECTION,0,6,6
1080p30,yZ5u2sOpiNU_s1371,1857,2157,PREDICTION,0,53,0
1080p30,yZ5u2sOpiNU_s1371,1857,2157,SUBPIXEL,1,1,0
720p60,7blRl4zVfrY_s90,3714,4314,CLAMP,0,29,0
720p60,7blRl4zVfrY_s90,3714,4314,CLAMP,1,166,0
720p60,7blRl4zVfrY_s90,3714,4314,DETECTION,0,42,42
720p60,7blRl4zVfrY_s90,3714,4314,PREDICTION,0,50,0
720p60,7blRl4zVfrY_s90,3714,4314,SUBPIXEL,1,8,0
1080p30,yZ5u2sOpiNU_s3933,1974,2274,CLAMP,0,3,0
1080p30,yZ5u2sOpiNU_s3933,1974,2274,CLAMP,1,50,0
1080p30,yZ5u2sOpiNU_s3933,1974,2274,DETECTION,0,74,74
1080p30,yZ5u2sOpiNU_s3933,1974,2274,PREDICTION,0,68,0
1080p30,yZ5u2sOpiNU_s3933,1974,2274,SUBPIXEL,1,20,0
1080p30,yZ5u2sOpiNU_s5214,2089,2389,CLAMP,0,15,0
1080p30,yZ5u2sOpiNU_s5214,2089,2389,CLAMP,1,51,0
1080p30,yZ5u2sOpiNU_s5214,2089,2389,DETECTION,0,43,43
1080p30,yZ5u2sOpiNU_s5214,2089,2389,PREDICTION,0,44,0
1080p30,yZ5u2sOpiNU_s5214,2089,2389,SUBPIXEL,0,2,0
1080p30,yZ5u2sOpiNU_s5214,2089,2389,SUBPIXEL,1,24,0
1080p30,yZ5u2sOpiNU_s90,2206,2506,CLAMP,0,56,0
1080p30,yZ5u2sOpiNU_s90,2206,2506,CLAMP,1,225,0
1080p30,yZ5u2sOpiNU_s90,2206,2506,DETECTION,0,71,71
1080p30,yZ5u2sOpiNU_s90,2206,2506,PREDICTION,0,59,0
1080p30,yZ5u2sOpiNU_s90,2206,2506,SUBPIXEL,0,2,0
1080p30,yZ5u2sOpiNU_s90,2206,2506,SUBPIXEL,1,43,0
1080p30,4JS090XPhmM_s2388,2322,2622,CLAMP,0,50,0
1080p30,4JS090XPhmM_s2388,2322,2622,CLAMP,1,117,0
1080p30,4JS090XPhmM_s2388,2322,2622,DETECTION,0,19,19
1080p30,4JS090XPhmM_s2388,2322,2622,PREDICTION,0,58,0
1080p30,4JS090XPhmM_s2388,2322,2622,SUBPIXEL,1,22,0
1080p30,4JS090XPhmM_s3537,2438,2738,CLAMP,0,50,0
1080p30,4JS090XPhmM_s3537,2438,2738,CLAMP,1,245,0
1080p30,4JS090XPhmM_s3537,2438,2738,DETECTION,0,19,19
1080p30,4JS090XPhmM_s3537,2438,2738,PREDICTION,0,73,0
1080p30,4JS090XPhmM_s3537,2438,2738,SUBPIXEL,0,1,0
1080p30,4JS090XPhmM_s3537,2438,2738,SUBPIXEL,1,7,0
1080p30,4JS090XPhmM_s4686,2553,2853,CLAMP,0,26,0
1080p30,4JS090XPhmM_s4686,2553,2853,CLAMP,1,73,0
1080p30,4JS090XPhmM_s4686,2553,2853,DETECTION,0,14,14
1080p30,4JS090XPhmM_s4686,2553,2853,PREDICTION,0,127,0
1080p30,4JS090XPhmM_s4686,2553,2853,SUBPIXEL,0,1,0
1080p30,4JS090XPhmM_s4686,2553,2853,SUBPIXEL,1,41,0
1080p30,3eeaJz1PJTM_s1331,2672,2972,CLAMP,0,10,0
1080p30,3eeaJz1PJTM_s1331,2672,2972,CLAMP,1,54,0
1080p30,3eeaJz1PJTM_s1331,2672,2972,DETECTION,0,10,10
1080p30,3eeaJz1PJTM_s1331,2672,2972,PREDICTION,0,10,0
1080p30,3eeaJz1PJTM_s2572,2789,3089,CLAMP,0,47,0
1080p30,3eeaJz1PJTM_s2572,2789,3089,CLAMP,1,386,0
1080p30,3eeaJz1PJTM_s2572,2789,3089,DETECTION,0,156,156
1080p30,3eeaJz1PJTM_s2572,2789,3089,PREDICTION,0,77,0
1080p30,3eeaJz1PJTM_s2572,2789,3089,SUBPIXEL,1,16,0
1080p30,3eeaJz1PJTM_s3813,2906,3206,CLAMP,0,49,0
1080p30,3eeaJz1PJTM_s3813,2906,3206,CLAMP,1,341,0
1080p30,3eeaJz1PJTM_s3813,2906,3206,DETECTION,0,25,25
1080p30,3eeaJz1PJTM_s3813,2906,3206,PREDICTION,0,48,0
1080p30,3eeaJz1PJTM_s3813,2906,3206,SUBPIXEL,1,42,0
1080p30,3eeaJz1PJTM_s90,3136,3436,DETECTION,0,46,46
1080p30,3eeaJz1PJTM_s90,3136,3436,PREDICTION,0,68,0
1080p30,3eeaJz1PJTM_s90,3136,3436,SUBPIXEL,0,24,0
1080p30,3eeaJz1PJTM_s90,3136,3436,SUBPIXEL,1,115,0
