blind_id,source_frame,marker_index,track_id,foot_x_px,foot_y_px
38,20253,8,24,1032.0,551.25
39,22808,0,68,1134.0,984.0
39,22808,1,69,630.0,947.25
40,20876,0,7,1251.75,591.75
40,20876,1,31,1696.5,972.0
40,20876,2,33,1803.0,975.0
40,20876,3,34,431.25,717.0
40,20876,4,32,497.25,693.0
40,20876,5,35,1454.25,971.25
40,20876,6,37,153.9375,939.0
40,20876,7,29,1543.5,972.75
40,20876,8,25,1046.25,544.875
40,20876,9,15,1297.5,563.25
40,20876,10,24,1134.0,636.0
40,20876,11,1,301.5,768.0
40,20876,12,38,1285.5,868.5
41,21187,0,33,815.25,744.75
41,21187,1,15,1266.0,859.5
41,21187,2,32,1449.0,660.0
41,21187,3,25,628.5,477.75
42,21499,0,45,1200.0,618.0
42,21499,1,25,1029.75,604.125
42,21499,2,33,1350.0,822.75
42,21499,3,46,987.0,480.75
42,21499,4,42,639.75,862.5
42,21499,5,44,554.25,658.5
42,21499,6,48,653.25,501.0
42,21499,7,32,1641.0,966.0
42,21499,8,40,163.3125,900.0
43,22496,0,42,666.75,713.25
43,22496,1,55,924.0,597.0
43,22496,2,45,419.15625,501.75
43,22496,3,61,352.875,857.25
43,22496,4,67,419.25,970.5
44,22994,0,80,139.96875,934.5
44,22994,1,83,1011.0,855.0
44,22994,2,69,739.5,692.25
45,20814,0,31,1713.0,973.5
45,20814,1,34,580.125,795.0
45,20814,2,7,1343.25,589.875
45,20814,3,33,1824.0,975.0
45,20814,4,24,1290.75,576.0
45,20814,5,2,1476.0,651.0
45,20814,6,32,509.25,681.75
45,20814,7,35,1476.0,971.25
45,20814,8,15,1038.0,513.0
45,20814,9,37,170.25,936.75
47,20004,0,17,800.25,624.0
47,20004,1,7,1185.0,837.75
47,20004,2,14,72.09375,973.5
47,20004,3,24,1397.25,521.25
47,20004,4,25,958.5,533.25
47,20004,5,22,119.625,731.25
47,20004,6,8,484.5,492.75
47,20004,7,1,285.0,963.0
47,20004,8,16,179.25,966.0
47,20004,9,15,1564.5,975.0
47,20004,10,4,1188.0,456.75
47,20004,11,2,389.90625,952.5
48,20564,0,31,658.875,598.875
48,20564,1,24,1117.5,772.5
48,20564,2,35,768.75,475.5
48,20564,3,25,997.5,813.0
48,20564,4,2,423.75,644.25
48,20564,5,15,1167.75,483.75
48,20564,6,32,216.328125,979.5
48,20564,7,20,297.0,949.5
48,20564,8,34,1317.0,637.5
48,20564,9,18,1331.25,618.0
49,20440,0,34,1374.75,734.25
49,20440,1,31,415.5,590.625
49,20440,2,22,65.625,972.0
49,20440,3,18,347.25,975.0
49,20440,4,2,596.25,862.5
