window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available,join_source,ball_shift
eurocup-Y6POC6V1Y5E_s2352,000614,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000615,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000616,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000617,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000618,OBSERVED_VALID,detected,0,,,motion_disagreement,80.0,,,1,px,0
eurocup-Y6POC6V1Y5E_s2352,000619,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000620,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000621,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000622,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000623,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000624,AMBIGUOUS,detected,0,,,two_players_within_10px,80.0,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000625,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000626,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000627,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000628,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000629,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000630,OBSERVED_VALID,detected,0,,,motion_disagreement,80.0,,,1,px,0
eurocup-Y6POC6V1Y5E_s2352,000631,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000632,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000633,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000634,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000635,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000636,ABSENT,none,3,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000637,ABSENT,none,4,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000638,ABSENT,none,5,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000639,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000640,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000641,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000642,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000643,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000644,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000645,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000646,ABSENT,none,1,,,no_ball,,,,0,px,0
