section_name,corpus,status,motion_share,motion_share_no_coast,coast_row_share,m1_rows_dropped,UNATTRIBUTED_KEPT,UNATTRIBUTED_REMOVED_TAIL,UNATTRIBUTED_SPLIT,COAST_LOST_KEPT,COAST_LOST_REMOVED_TAIL,COAST_LOST_SPLIT,BBOX_FROZEN_KEPT,BBOX_FROZEN_REMOVED_TAIL,BBOX_FROZEN_SPLIT,CLAMP_OR_SUBPIXEL_KEPT,CLAMP_OR_SUBPIXEL_REMOVED_TAIL,CLAMP_OR_SUBPIXEL_SPLIT
eurocup-Y6POC6V1Y5E_s1221,G358,PRESENT,0.737006,0.431181,0.542144,002606,000000,000000,000000,000000,000056,000000,000000,000002,000000,000000,000048,000000
eurocup-Y6POC6V1Y5E_s3483,G358,PRESENT,0.507295,0.327020,0.512177,003167,000000,000000,000000,000000,000057,000000,000000,000000,000000,000000,000038,000000
eurocup-Y6POC6V1Y5E_s5745,G358,PRESENT,0.335335,0.269792,0.295923,003751,000000,000000,000000,000000,000011,000000,000000,000022,000000,000000,000061,000000
euroleague-AIPW_g_VZN0_s1153,G358,PRESENT,0.708333,0.233728,0.688012,001318,000000,000000,000000,000000,000085,000000,000000,000000,000000,000000,000006,000000
euroleague-AIPW_g_VZN0_s3279,G358,PRESENT,0.171364,0.075544,0.545849,003879,000000,000000,000000,000000,000042,000000,000000,000001,000000,000000,000015,000000
euroleague-AIPW_g_VZN0_s5405,G358,PRESENT,0.520041,0.289203,0.542788,003167,000000,000000,000000,000000,000092,000000,000000,000001,000000,000000,000064,000000
fiba-1DKl1QOo_b8_s1289,G358,PRESENT,0.560855,0.219251,0.698788,000802,000000,000000,000000,000000,000111,000000,000000,000001,000000,000000,000021,000000
fiba-1DKl1QOo_b8_s4886,G358,PRESENT,0.210000,0.099537,0.390202,003811,000000,000000,000000,000000,000014,000000,000000,000001,000000,000000,000016,000000
fiba-UG_eQNRDHiI_s1385,G358,PRESENT,0.465257,0.283041,0.462878,003897,000000,000000,000000,000000,000054,000000,000000,000003,000000,000000,000074,000000
fiba-UG_eQNRDHiI_s3975,G358,PRESENT,0.887164,0.726891,0.242647,003929,000000,000000,000000,000000,000049,000000,000000,000004,000000,000000,000159,000000
fiba-UG_eQNRDHiI_s90,G358,PRESENT,0.895769,0.790407,0.257845,002530,000000,000000,000000,000000,000068,000000,000000,000015,000000,000000,000162,000000
fiba-jFUMvm_epUE_s6740,G358,PRESENT,0.726841,0.564841,0.530441,000720,000000,000000,000000,000000,000037,000000,000000,000000,000000,000000,000015,000000
