section_name,corpus,status,rows,tracks,unparsed_frame_rows,ticks,tick_pairs,moved_pairs,motion_share,ledger_evaluated_frames,sidecar_evaluated_frames,recorded_sha256,observed_sha256,sha256_check
euroleague-AIPW_g_VZN0_s1153,G358,PRESENT,001952,000010,000000,000433,000432,000306,0.708333,1626,434,3b2e733b3d09b7ee999f485f913f262ff688b004c30202eb787841380d2b12e8,3b2e733b3d09b7ee999f485f913f262ff688b004c30202eb787841380d2b12e8,MATCH
euroleague-AIPW_g_VZN0_s3279,G358,PRESENT,004144,000010,000000,000888,000887,000152,0.171364,1626,904,ecbc261c780bc94953b21f60ecdb4000ff63303f3c4104e5f64c55d44b30468b,ecbc261c780bc94953b21f60ecdb4000ff63303f3c4104e5f64c55d44b30468b,MATCH
euroleague-AIPW_g_VZN0_s5405,G358,PRESENT,004160,000010,000000,000974,000973,000506,0.520041,1626,1000,f260c3b7da19d6abd7d70eb4c38c55567142d0a8cf31e47a99caebac3ad18632,f260c3b7da19d6abd7d70eb4c38c55567142d0a8cf31e47a99caebac3ad18632,MATCH
fiba-1DKl1QOo_b8_s1289,G358,PRESENT,001650,000010,000000,000609,000608,000341,0.560855,1626,881,c6e94d28e120c269a51e3433fd874d8ff4869b79e7ec7bdc5c7b9d9ee1cc0b36,c6e94d28e120c269a51e3433fd874d8ff4869b79e7ec7bdc5c7b9d9ee1cc0b36,MATCH
fiba-1DKl1QOo_b8_s4886,G358,PRESENT,004103,000010,000000,000901,000900,000189,0.210000,1626,904,e4ddd6adb92f5295e8d8eeac9adb9605684a1ff9e14fac19758291baa3316c53,e4ddd6adb92f5295e8d8eeac9adb9605684a1ff9e14fac19758291baa3316c53,MATCH
fiba-UG_eQNRDHiI_s1385,G358,PRESENT,004593,000010,000000,000994,000993,000462,0.465257,1301,1000,286d338681f898a2e1bc98e3d06c67ccec6d45c78f11ade91d561a98a4009541,286d338681f898a2e1bc98e3d06c67ccec6d45c78f11ade91d561a98a4009541,MATCH
fiba-UG_eQNRDHiI_s3975,G358,PRESENT,005984,000010,000000,000967,000966,000857,0.887164,1301,1000,b8e841e864645685aadeef79260c522c6e1b7307a65d3e43415706a65d3e5b01,b8e841e864645685aadeef79260c522c6e1b7307a65d3e43415706a65d3e5b01,MATCH
fiba-UG_eQNRDHiI_s90,G358,PRESENT,005003,000010,000000,000970,000969,000868,0.895769,1301,1000,ef5a741fa90f285b88bc8014d4170cb733ef63f1bb38ac5621abb81e921f70ba,ef5a741fa90f285b88bc8014d4170cb733ef63f1bb38ac5621abb81e921f70ba,MATCH
fiba-jFUMvm_epUE_s6740,G358,PRESENT,001314,000010,000000,000422,000421,000306,0.726841,1301,453,4e16f4f437e92a0d7a013f8dde4134e7b53acc7ccd8c1f6314f4ed29cc2e89f5,4e16f4f437e92a0d7a013f8dde4134e7b53acc7ccd8c1f6314f4ed29cc2e89f5,MATCH
lnb-1CBY-LXG8VA_s6525,G358,PRESENT,005498,000010,000000,000990,000989,000570,0.576340,1301,1000,e7c285cb79d1bfb54281cb01d3c6484ebcc0baf27950e0509edd469610270463,e7c285cb79d1bfb54281cb01d3c6484ebcc0baf27950e0509edd469610270463,MATCH
lnb-ouDVA0vM20g_s1379,G358,PRESENT,004361,000010,000000,001000,000999,000029,0.029029,1301,1000,381b262b8c70fdbcfe658dbe75d7e7d8fae8e7c18d2814379e9f1a1876aa2ca5,381b262b8c70fdbcfe658dbe75d7e7d8fae8e7c18d2814379e9f1a1876aa2ca5,MATCH
