Season,Date,Match,Score,Odds_1,Odds_2
2022-2023,22.03.2023,Miami Heat - New York Knicks,127:120,1.77,2.10
2022-2023,22.03.2023,Milwaukee Bucks - San Antonio Spurs,130:94,1.04,12.55
2022-2023,22.03.2023,Minnesota Timberwolves - Atlanta Hawks,125:124,1.58,2.45
2022-2023,22.03.2023,Toronto Raptors - Indiana Pacers,114:118,1.26,4.11
2022-2023,22.03.2023,Utah Jazz - Portland Trail Blazers,115:127,1.49,2.69
2022-2023,22.03.2023,Washington Wizards - Denver Nuggets,104:118,4.06,1.25
2022-2023,21.03.2023,Atlanta Hawks - Detroit Pistons,129:107,1.10,7.30
2022-2023,21.03.2023,Brooklyn Nets - Cleveland Cavaliers,109:115,2.44,1.58
2022-2023,21.03.2023,Los Angeles Clippers - Oklahoma City Thunder,100:101,1.38,3.16
2022-2023,21.03.2023,New Orleans Pelicans - San Antonio Spurs,119:84,1.10,7.12
2022-2023,21.03.2023,Orlando Magic - Washington Wizards,122:112,1.89,1.95
2022-2023,21.03.2023,Sacramento Kings - Boston Celtics,109:132,2.73,1.48
2022-2023,20.03.2023,Charlotte Hornets - Indiana Pacers,115:109,2.11,1.77
2022-2023,20.03.2023,Houston Rockets - Golden State Warriors,108:121,5.75,1.15
2022-2023,20.03.2023,Memphis Grizzlies - Dallas Mavericks,112:108,1.56,2.52
2022-2023,20.03.2023,New York Knicks - Minnesota Timberwolves,134:140,1.28,3.80
2022-2023,20.03.2023,Philadelphia 76ers - Chicago Bulls,105:109 AET,1.29,3.71
2022-2023,20.03.2023,Utah Jazz - Sacramento Kings,128:120,3.22,1.37
2022-2023,19.03.2023,Brooklyn Nets - Denver Nuggets,102:108,2.26,1.67
2022-2023,19.03.2023,Detroit Pistons - Miami Heat,100:112,4.58,1.21
2022-2023,19.03.2023,Houston Rockets - New Orleans Pelicans,107:117,2.86,1.44
2022-2023,19.03.2023,Los Angeles Lakers - Orlando Magic,111:105,1.40,3.07
2022-2023,19.03.2023,Milwaukee Bucks - Toronto Raptors,118:111,1.33,3.39
2022-2023,19.03.2023,Oklahoma City Thunder - Phoenix Suns,124:120,1.85,1.98
2022-2023,19.03.2023,Portland Trail Blazers - Los Angeles Clippers,102:117,2.55,1.54
2022-2023,19.03.2023,San Antonio Spurs - Atlanta Hawks,126:118,4.64,1.21
2022-2023,18.03.2023,Chicago Bulls - Miami Heat,113:99,2.14,1.75
2022-2023,18.03.2023,Indiana Pacers - Philadelphia 76ers,121:141,2.66,1.51
2022-2023,18.03.2023,Los Angeles Clippers - Orlando Magic,108:113,1.38,3.14
2022-2023,18.03.2023,Memphis Grizzlies - Golden State Warriors,133:119,2.03,1.82
2022-2023,18.03.2023,New York Knicks - Denver Nuggets,116:110,1.88,1.96
2022-2023,18.03.2023,Toronto Raptors - Minnesota Timberwolves,122:107,1.23,4.27
2022-2023,18.03.2023,Utah Jazz - Boston Celtics,118:117,2.62,1.51
2022-2023,18.03.2023,Washington Wizards - Sacramento Kings,118:132,2.61,1.52
2022-2023,17.03.2023,Atlanta Hawks - Golden State Warriors,127:119,1.64,2.32
2022-2023,17.03.2023,Charlotte Hornets - Philadelphia 76ers,82:121,4.84,1.20
2022-2023,17.03.2023,Chicago Bulls - Minnesota Timberwolves,139:131 AET,1.71,2.19
2022-2023,17.03.2023,Cleveland Cavaliers - Washington Wizards,117:94,1.47,2.76
2022-2023,17.03.2023,Houston Rockets - New Orleans Pelicans,114:112,2.80,1.46
2022-2023,17.03.2023,Los Angeles Lakers - Dallas Mavericks,110:111,1.58,2.44
2022-2023,17.03.2023,Portland Trail Blazers - Boston Celtics,112:126,3.02,1.40
2022-2023,17.03.2023,San Antonio Spurs - Memphis Grizzlies,120:126 AET,3.99,1.26
2022-2023,16.03.2023,Brooklyn Nets - Sacramento Kings,96:101,1.66,2.28
2022-2023,16.03.2023,Detroit Pistons - Denver Nuggets,100:119,8.74,1.08
2022-2023,16.03.2023,Milwaukee Bucks - Indiana Pacers,123:139,1.13,6.29
2022-2023,16.03.2023,Phoenix Suns - Orlando Magic,116:113,1.30,3.72
2022-2023,16.03.2023,Toronto Raptors - Oklahoma City Thunder,128:111,1.40,3.04
2022-2023,15.03.2023,Chicago Bulls - Sacramento Kings,114:117,2.02,1.84
2022-2023,15.03.2023,Cleveland Cavaliers - Philadelphia 76ers,109:118,2.25,1.68
2022-2023,15.03.2023,Houston Rockets - Los Angeles Lakers,114:110,2.20,1.70
2022-2023,15.03.2023,Los Angeles Clippers - Golden State Warriors,134:126,1.67,2.24
2022-2023,15.03.2023,Miami Heat - Memphis Grizzlies,138:119,1.56,2.50
2022-2023,15.03.2023,Minnesota Timberwolves - Boston Celtics,102:104,2.54,1.55
2022-2023,15.03.2023,San Antonio Spurs - Dallas Mavericks,128:137 AET,2.47,1.57
2022-2023,14.03.2023,Charlotte Hornets - Cleveland Cavaliers,104:120,2.76,1.47
2022-2023,14.03.2023,New Orleans Pelicans - Los Angeles Lakers,108:123,1.86,1.99
2022-2023,14.03.2023,Oklahoma City Thunder - Brooklyn Nets,121:107,1.85,1.99
2022-2023,14.03.2023,Phoenix Suns - Milwaukee Bucks,104:116,1.99,1.85
2022-2023,14.03.2023,Portland Trail Blazers - New York Knicks,107:123,2.15,1.73
2022-2023,14.03.2023,San Antonio Spurs - Orlando Magic,132:114,3.17,1.38
2022-2023,14.03.2023,Toronto Raptors - Denver Nuggets,125:110,2.03,1.83
2022-2023,14.03.2023,Washington Wizards - Detroit Pistons,117:97,1.10,7.29
2022-2023,13.03.2023,Atlanta Hawks - Minnesota Timberwolves,115:136,1.51,2.64
2022-2023,13.03.2023,Dallas Mavericks - Memphis Grizzlies,88:104,2.52,1.56
2022-2023,13.03.2023,Detroit Pistons - Indiana Pacers,117:97,2.45,1.59
2022-2023,13.03.2023,Golden State Warriors - Phoenix Suns,123:112,1.53,2.59
2022-2023,13.03.2023,Houston Rockets - Boston Celtics,111:109,7.02,1.11
2022-2023,13.03.2023,Miami Heat - Utah Jazz,119:115,1.28,3.82
2022-2023,13.03.2023,Sacramento Kings - Milwaukee Bucks,124:133,2.37,1.62
2022-2023,12.03.2023,Charlotte Hornets - Cleveland Cavaliers,108:114,4.70,1.20
2022-2023,12.03.2023,Denver Nuggets - Brooklyn Nets,120:122,1.26,4.02
2022-2023,12.03.2023,Los Angeles Lakers - New York Knicks,108:112,1.70,2.22
2022-2023,12.03.2023,New Orleans Pelicans - Portland Trail Blazers,127:110,1.70,2.22
2022-2023,12.03.2023,Philadelphia 76ers - Washington Wizards,112:93,1.34,3.41
2022-2023,12.03.2023,San Antonio Spurs - Oklahoma City Thunder,90:102,2.43,1.59
2022-2023,11.03.2023,Atlanta Hawks - Boston Celtics,125:134,2.66,1.51
2022-2023,11.03.2023,Charlotte Hornets - Utah Jazz,111:119,1.96,1.86
2022-2023,11.03.2023,Detroit Pistons - Indiana Pacers,115:121,2.38,1.61
2022-2023,11.03.2023,Golden State Warriors - Milwaukee Bucks,125:116 AET,1.62,2.38
2022-2023,11.03.2023,Houston Rockets - Chicago Bulls,111:119,3.52,1.32
2022-2023,11.03.2023,Los Angeles Clippers - New York Knicks,106:95,1.49,2.72
2022-2023,11.03.2023,Memphis Grizzlies - Dallas Mavericks,112:108,1.31,3.56
2022-2023,11.03.2023,New Orleans Pelicans - Oklahoma City Thunder,96:110,1.90,1.93
2022-2023,11.03.2023,Orlando Magic - Miami Heat,126:114 AET,2.21,1.70
2022-2023,11.03.2023,Phoenix Suns - Sacramento Kings,119:128,1.62,2.38
2022-2023,10.03.2023,Los Angeles Lakers - Toronto Raptors,122:112,2.21,1.70
2022-2023,10.03.2023,Miami Heat - Cleveland Cavaliers,119:115,1.69,2.24
2022-2023,10.03.2023,Minnesota Timberwolves - Brooklyn Nets,123:124 AET,1.55,2.53
2022-2023,10.03.2023,Philadelphia 76ers - Portland Trail Blazers,120:119,1.27,3.90
2022-2023,10.03.2023,San Antonio Spurs - Denver Nuggets,128:120,6.58,1.12
2022-2023,10.03.2023,Washington Wizards - Atlanta Hawks,107:114,2.01,1.83
2022-2023,09.03.2023,Detroit Pistons - Charlotte Hornets,103:113,2.37,1.62
2022-2023,09.03.2023,Indiana Pacers - Houston Rockets,134:125 AET,1.21,4.59
2022-2023,09.03.2023,Memphis Grizzlies - Golden State Warriors,131:110,2.23,1.69
2022-2023,09.03.2023,Milwaukee Bucks - Brooklyn Nets,118:113,1.21,4.63
2022-2023,09.03.2023,Orlando Magic - Utah Jazz,124:131,1.57,2.47
2022-2023,09.03.2023,Sacramento Kings - New York Knicks,122:117,1.79,2.08
2022-2023,08.03.2023,Boston Celtics - Portland Trail Blazers,115:93,1.22,4.44
2022-2023,08.03.2023,Denver Nuggets - Chicago Bulls,96:117,1.26,4.00
2022-2023,08.03.2023,Los Angeles Clippers - Toronto Raptors,108:100,1.72,2.19
2022-2023,08.03.2023,Miami Heat - Cleveland Cavaliers,100:104,2.01,1.83
2022-2023,08.03.2023,New Orleans Pelicans - Dallas Mavericks,113:106,2.17,1.72
2022-2023,08.03.2023,Phoenix Suns - Oklahoma City Thunder,132:101,1.14,6.43
2022-2023,08.03.2023,Washington Wizards - Atlanta Hawks,120:122,2.24,1.67
2022-2023,07.03.2023,Dallas Mavericks - Utah Jazz,120:116,1.17,5.18
2022-2023,07.03.2023,Detroit Pistons - Washington Wizards,117:119,4.93,1.19
2022-2023,07.03.2023,Houston Rockets - Brooklyn Nets,96:118,3.07,1.39
2022-2023,07.03.2023,Los Angeles Lakers - Memphis Grizzlies,112:103,2.00,1.85
2022-2023,07.03.2023,Minnesota Timberwolves - Philadelphia 76ers,94:117,1.65,2.27
2022-2023,07.03.2023,New York Knicks - Charlotte Hornets,105:112,1.21,4.56
2022-2023,07.03.2023,Oklahoma City Thunder - Golden State Warriors,137:128,2.49,1.56
2022-2023,07.03.2023,Orlando Magic - Milwaukee Bucks,123:134,2.14,1.72
2022-2023,06.03.2023,Cleveland Cavaliers - Boston Celtics,118:114 AET,1.30,3.56
2022-2023,06.03.2023,Denver Nuggets - Toronto Raptors,118:113,1.42,2.98
2022-2023,06.03.2023,Detroit Pistons - Portland Trail Blazers,104:110,2.65,1.50
2022-2023,06.03.2023,Indiana Pacers - Philadelphia 76ers,143:147,3.01,1.41
2022-2023,06.03.2023,Miami Heat - Atlanta Hawks,130:128,1.73,2.16
2022-2023,06.03.2023,Sacramento Kings - New Orleans Pelicans,123:108,1.51,2.65
2022-2023,05.03.2023,Boston Celtics - New York Knicks,129:131 AET,1.36,3.23
2022-2023,05.03.2023,Brooklyn Nets - Charlotte Hornets,102:86,1.30,3.67
2022-2023,05.03.2023,Chicago Bulls - Indiana Pacers,122:125,1.46,2.79
2022-2023,05.03.2023,Dallas Mavericks - Phoenix Suns,126:130,2.10,1.77
2022-2023,05.03.2023,Houston Rockets - San Antonio Spurs,142:110,1.52,2.60
2022-2023,05.03.2023,Los Angeles Clippers - Memphis Grizzlies,135:129,1.34,3.41
2022-2023,05.03.2023,Los Angeles Lakers - Golden State Warriors,113:105,2.70,1.50
2022-2023,05.03.2023,Oklahoma City Thunder - Utah Jazz,129:119,1.41,2.99
2022-2023,05.03.2023,Orlando Magic - Portland Trail Blazers,119:122,1.69,2.22
2022-2023,05.03.2023,Washington Wizards - Milwaukee Bucks,111:117,2.88,1.44
2022-2023,04.03.2023,Cleveland Cavaliers - Detroit Pistons,114:90,1.06,9.62
2022-2023,04.03.2023,Miami Heat - Atlanta Hawks,117:109,1.69,2.23
2022-2023,04.03.2023,Milwaukee Bucks - Philadelphia 76ers,130:133,1.52,2.62
2022-2023,04.03.2023,Sacramento Kings - Minnesota Timberwolves,134:138,1.55,2.54
2022-2023,04.03.2023,San Antonio Spurs - Houston Rockets,110:122,1.99,1.85
2022-2023,04.03.2023,Washington Wizards - Toronto Raptors,109:116 AET,2.19,1.71
2022-2023,03.03.2023,Atlanta Hawks - Portland Trail Blazers,129:111,1.32,3.50
2022-2023,03.03.2023,Boston Celtics - Brooklyn Nets,105:115,1.19,5.08
2022-2023,03.03.2023,Charlotte Hornets - Orlando Magic,106:117,2.43,1.59
2022-2023,03.03.2023,Chicago Bulls - Phoenix Suns,104:125,2.36,1.62
2022-2023,03.03.2023,Denver Nuggets - Memphis Grizzlies,113:97,1.44,2.88
2022-2023,03.03.2023,Golden State Warriors - New Orleans Pelicans,108:99,1.50,2.66
2022-2023,03.03.2023,Los Angeles Lakers - Minnesota Timberwolves,102:110,2.03,1.82
2022-2023,03.03.2023,Miami Heat - New York Knicks,120:122,1.86,1.98
2022-2023,03.03.2023,Oklahoma City Thunder - Utah Jazz,130:103,1.85,1.98
2022-2023,03.03.2023,Sacramento Kings - Los Angeles Clippers,128:127,1.35,3.30
2022-2023,02.03.2023,Dallas Mavericks - Philadelphia 76ers,133:126,1.67,2.27
2022-2023,02.03.2023,Golden State Warriors - Los Angeles Clippers,115:91,2.25,1.68
2022-2023,02.03.2023,San Antonio Spurs - Indiana Pacers,110:99,2.61,1.53
2022-2023,02.03.2023,Washington Wizards - Toronto Raptors,119:108,2.06,1.80
2022-2023,01.03.2023,Boston Celtics - Cleveland Cavaliers,117:113,1.50,2.66
2022-2023,01.03.2023,Charlotte Hornets - Phoenix Suns,91:105,4.95,1.19
2022-2023,01.03.2023,Detroit Pistons - Chicago Bulls,115:117,3.09,1.39
2022-2023,01.03.2023,Houston Rockets - Memphis Grizzlies,99:113,4.91,1.20
2022-2023,01.03.2023,Miami Heat - Philadelphia 76ers,96:119,1.64,2.37
2022-2023,01.03.2023,Milwaukee Bucks - Orlando Magic,139:117,1.28,3.83
2022-2023,01.03.2023,New York Knicks - Brooklyn Nets,142:118,1.31,3.56
2022-2023,01.03.2023,Oklahoma City Thunder - Los Angeles Lakers,117:123,1.63,2.34
2022-2023,01.03.2023,Portland Trail Blazers - New Orleans Pelicans,110:121,1.67,2.26
2022-2023,28.02.2023,Atlanta Hawks - Washington Wizards,116:119,1.34,3.37
2022-2023,28.02.2023,Brooklyn Nets - Milwaukee Bucks,104:118,3.06,1.40
2022-2023,28.02.2023,Dallas Mavericks - Indiana Pacers,122:124,1.28,3.82
2022-2023,28.02.2023,Golden State Warriors - Portland Trail Blazers,123:105,1.51,2.64
2022-2023,28.02.2023,Houston Rockets - Denver Nuggets,112:133,6.10,1.14
2022-2023,28.02.2023,Los Angeles Clippers - Minnesota Timberwolves,101:108,1.41,3.03
2022-2023,28.02.2023,Memphis Grizzlies - Los Angeles Lakers,121:109,1.25,4.16
2022-2023,28.02.2023,Oklahoma City Thunder - Sacramento Kings,117:123,2.18,1.72
2022-2023,28.02.2023,Toronto Raptors - Chicago Bulls,104:98,1.54,2.56
