state_id,game_id,state_ts,stratum,check,verdict,reason
000021,401809938,2025-10-23T00:35:03+00:00,p1_m10_plus_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000021,401809938,2025-10-23T00:35:03+00:00,p1_m10_plus_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000021,401809938,2025-10-23T00:35:03+00:00,p1_m10_plus_c60_300,settlement,ACCEPTED,final_tick_after_state
000022,401810661,2026-02-21T01:07:16+00:00,p1_m10_plus_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000022,401810661,2026-02-21T01:07:16+00:00,p1_m10_plus_c60_300,status,ACCEPTED,active_s309_mask
000022,401810661,2026-02-21T01:07:16+00:00,p1_m10_plus_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000022,401810661,2026-02-21T01:07:16+00:00,p1_m10_plus_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000022,401810661,2026-02-21T01:07:16+00:00,p1_m10_plus_c60_300,settlement,ACCEPTED,final_tick_after_state
000023,401812707,2025-10-12T23:40:04+00:00,p1_m10_plus_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000023,401812707,2025-10-12T23:40:04+00:00,p1_m10_plus_c60_300,status,ACCEPTED,active_s309_mask
000023,401812707,2025-10-12T23:40:04+00:00,p1_m10_plus_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000023,401812707,2025-10-12T23:40:04+00:00,p1_m10_plus_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000023,401812707,2025-10-12T23:40:04+00:00,p1_m10_plus_c60_300,settlement,ACCEPTED,final_tick_after_state
000024,401869393,2026-04-30T23:26:03+00:00,p1_m10_plus_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000024,401869393,2026-04-30T23:26:03+00:00,p1_m10_plus_c60_300,status,ACCEPTED,active_s309_mask
000024,401869393,2026-04-30T23:26:03+00:00,p1_m10_plus_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000024,401869393,2026-04-30T23:26:03+00:00,p1_m10_plus_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000024,401869393,2026-04-30T23:26:03+00:00,p1_m10_plus_c60_300,settlement,ACCEPTED,final_tick_after_state
000025,401704976,2024-12-27T00:39:03+00:00,p1_m10_plus_ceq_0,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000025,401704976,2024-12-27T00:39:03+00:00,p1_m10_plus_ceq_0,status,ACCEPTED,active_s309_mask
000025,401704976,2024-12-27T00:39:03+00:00,p1_m10_plus_ceq_0,polarity,NOT_VERIFIED,side_or_home_column_absent
000025,401704976,2024-12-27T00:39:03+00:00,p1_m10_plus_ceq_0,duplicate,ACCEPTED,unique_game_id_state_ts
000025,401704976,2024-12-27T00:39:03+00:00,p1_m10_plus_ceq_0,settlement,ACCEPTED,final_tick_after_state
000026,401705141,2025-01-17T03:38:03+00:00,p1_m10_plus_ceq_0,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000026,401705141,2025-01-17T03:38:03+00:00,p1_m10_plus_ceq_0,status,ACCEPTED,active_s309_mask
000026,401705141,2025-01-17T03:38:03+00:00,p1_m10_plus_ceq_0,polarity,NOT_VERIFIED,side_or_home_column_absent
000026,401705141,2025-01-17T03:38:03+00:00,p1_m10_plus_ceq_0,duplicate,ACCEPTED,unique_game_id_state_ts
000026,401705141,2025-01-17T03:38:03+00:00,p1_m10_plus_ceq_0,settlement,ACCEPTED,final_tick_after_state
000027,401705153,2025-01-19T00:38:03+00:00,p1_m10_plus_ceq_0,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000027,401705153,2025-01-19T00:38:03+00:00,p1_m10_plus_ceq_0,status,ACCEPTED,active_s309_mask
000027,401705153,2025-01-19T00:38:03+00:00,p1_m10_plus_ceq_0,polarity,NOT_VERIFIED,side_or_home_column_absent
000027,401705153,2025-01-19T00:38:03+00:00,p1_m10_plus_ceq_0,duplicate,ACCEPTED,unique_game_id_state_ts
000027,401705153,2025-01-19T00:38:03+00:00,p1_m10_plus_ceq_0,settlement,ACCEPTED,final_tick_after_state
000028,401809510,2025-11-08T00:42:05+00:00,p1_m10_plus_ceq_0,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000028,401809510,2025-11-08T00:42:05+00:00,p1_m10_plus_ceq_0,status,ACCEPTED,active_s309_mask
000028,401809510,2025-11-08T00:42:05+00:00,p1_m10_plus_ceq_0,polarity,NOT_VERIFIED,side_or_home_column_absent
000028,401809510,2025-11-08T00:42:05+00:00,p1_m10_plus_ceq_0,duplicate,ACCEPTED,unique_game_id_state_ts
000028,401809510,2025-11-08T00:42:05+00:00,p1_m10_plus_ceq_0,settlement,ACCEPTED,final_tick_after_state
000029,401812482,2025-10-04T02:41:10+00:00,p1_m10_plus_ceq_0,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000029,401812482,2025-10-04T02:41:10+00:00,p1_m10_plus_ceq_0,status,ACCEPTED,active_s309_mask
000029,401812482,2025-10-04T02:41:10+00:00,p1_m10_plus_ceq_0,polarity,NOT_VERIFIED,side_or_home_column_absent
000029,401812482,2025-10-04T02:41:10+00:00,p1_m10_plus_ceq_0,duplicate,ACCEPTED,unique_game_id_state_ts
000029,401812482,2025-10-04T02:41:10+00:00,p1_m10_plus_ceq_0,settlement,ACCEPTED,final_tick_after_state
000030,401705174,2025-01-22T00:55:04+00:00,p1_m10_plus_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000030,401705174,2025-01-22T00:55:04+00:00,p1_m10_plus_cgt_300,status,ACCEPTED,active_s309_mask
000030,401705174,2025-01-22T00:55:04+00:00,p1_m10_plus_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000030,401705174,2025-01-22T00:55:04+00:00,p1_m10_plus_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000030,401705174,2025-01-22T00:55:04+00:00,p1_m10_plus_cgt_300,settlement,ACCEPTED,final_tick_after_state
000031,401767903,2025-04-22T23:49:05+00:00,p1_m10_plus_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000031,401767903,2025-04-22T23:49:05+00:00,p1_m10_plus_cgt_300,status,ACCEPTED,active_s309_mask
000031,401767903,2025-04-22T23:49:05+00:00,p1_m10_plus_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000031,401767903,2025-04-22T23:49:05+00:00,p1_m10_plus_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000031,401767903,2025-04-22T23:49:05+00:00,p1_m10_plus_cgt_300,settlement,ACCEPTED,final_tick_after_state
000032,401810056,2025-11-11T00:52:12+00:00,p1_m10_plus_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000032,401810056,2025-11-11T00:52:12+00:00,p1_m10_plus_cgt_300,status,ACCEPTED,active_s309_mask
000032,401810056,2025-11-11T00:52:12+00:00,p1_m10_plus_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000032,401810056,2025-11-11T00:52:12+00:00,p1_m10_plus_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000032,401810056,2025-11-11T00:52:12+00:00,p1_m10_plus_cgt_300,settlement,ACCEPTED,final_tick_after_state
000033,401810635,2026-02-12T00:55:13+00:00,p1_m10_plus_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000033,401810635,2026-02-12T00:55:13+00:00,p1_m10_plus_cgt_300,status,ACCEPTED,active_s309_mask
000033,401810635,2026-02-12T00:55:13+00:00,p1_m10_plus_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000033,401810635,2026-02-12T00:55:13+00:00,p1_m10_plus_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000033,401810635,2026-02-12T00:55:13+00:00,p1_m10_plus_cgt_300,settlement,ACCEPTED,final_tick_after_state
000034,401869386,2026-04-29T01:58:04+00:00,p1_m10_plus_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000034,401869386,2026-04-29T01:58:04+00:00,p1_m10_plus_cgt_300,status,ACCEPTED,active_s309_mask
000034,401869386,2026-04-29T01:58:04+00:00,p1_m10_plus_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000034,401869386,2026-04-29T01:58:04+00:00,p1_m10_plus_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000034,401869386,2026-04-29T01:58:04+00:00,p1_m10_plus_cgt_300,settlement,ACCEPTED,final_tick_after_state
000035,401809784,2025-11-15T01:37:06+00:00,p1_m10_plus_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000035,401809784,2025-11-15T01:37:06+00:00,p1_m10_plus_clt_60,status,ACCEPTED,active_s309_mask
000035,401809784,2025-11-15T01:37:06+00:00,p1_m10_plus_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000035,401809784,2025-11-15T01:37:06+00:00,p1_m10_plus_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000035,401809784,2025-11-15T01:37:06+00:00,p1_m10_plus_clt_60,settlement,ACCEPTED,final_tick_after_state
000036,401810069,2025-11-13T00:36:06+00:00,p1_m10_plus_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000036,401810069,2025-11-13T00:36:06+00:00,p1_m10_plus_clt_60,status,ACCEPTED,active_s309_mask
000036,401810069,2025-11-13T00:36:06+00:00,p1_m10_plus_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000036,401810069,2025-11-13T00:36:06+00:00,p1_m10_plus_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000036,401810069,2025-11-13T00:36:06+00:00,p1_m10_plus_clt_60,settlement,ACCEPTED,final_tick_after_state
000037,401810135,2025-11-24T00:38:07+00:00,p1_m10_plus_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000037,401810135,2025-11-24T00:38:07+00:00,p1_m10_plus_clt_60,status,ACCEPTED,active_s309_mask
000037,401810135,2025-11-24T00:38:07+00:00,p1_m10_plus_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000037,401810135,2025-11-24T00:38:07+00:00,p1_m10_plus_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000037,401810135,2025-11-24T00:38:07+00:00,p1_m10_plus_clt_60,settlement,ACCEPTED,final_tick_after_state
000038,401810183,2025-12-04T01:04:08+00:00,p1_m10_plus_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000038,401810183,2025-12-04T01:04:08+00:00,p1_m10_plus_clt_60,status,ACCEPTED,active_s309_mask
000038,401810183,2025-12-04T01:04:08+00:00,p1_m10_plus_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000038,401810183,2025-12-04T01:04:08+00:00,p1_m10_plus_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000038,401810183,2025-12-04T01:04:08+00:00,p1_m10_plus_clt_60,settlement,ACCEPTED,final_tick_after_state
000039,401810631,2026-02-12T00:43:13+00:00,p1_m10_plus_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000039,401810631,2026-02-12T00:43:13+00:00,p1_m10_plus_clt_60,status,ACCEPTED,active_s309_mask
000039,401810631,2026-02-12T00:43:13+00:00,p1_m10_plus_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000039,401810631,2026-02-12T00:43:13+00:00,p1_m10_plus_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000039,401810631,2026-02-12T00:43:13+00:00,p1_m10_plus_clt_60,settlement,ACCEPTED,final_tick_after_state
000040,401810126,2025-11-23T01:27:06+00:00,p1_m4_9_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000040,401810126,2025-11-23T01:27:06+00:00,p1_m4_9_c60_300,status,ACCEPTED,active_s309_mask
