geometry,sigma_px,draw,seed,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,n_supports,n_kept,rounds_run,n_fev,status
G1_SYNTH_QUAD,0.50,23,670234547,0.776339,0.378610,0.525817,0.397729,0.250522,546,546,3,10,ok
G1_SYNTH_QUAD,0.50,24,1411212021,0.365335,0.247601,0.273443,0.117735,0.091893,547,547,2,6,ok
G1_SYNTH_QUAD,0.50,25,4083387444,0.589846,0.451932,0.456698,0.137914,0.133148,546,546,3,9,ok
G1_SYNTH_QUAD,0.50,26,1353775939,0.587435,0.600742,0.580644,-0.013306,0.006791,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,27,1103466077,0.731476,0.612057,0.659183,0.119419,0.072294,546,546,2,8,ok
G1_SYNTH_QUAD,0.50,28,2170106553,0.373416,0.253676,0.252716,0.119740,0.120700,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,29,2214355612,0.449153,0.244653,0.296058,0.204501,0.153095,547,547,3,10,ok
G1_SYNTH_QUAD,0.50,30,2119349095,0.927754,0.840772,0.846787,0.086982,0.080967,546,546,2,8,ok
G1_SYNTH_QUAD,0.50,31,647565030,0.751881,0.267810,0.406697,0.484071,0.345184,547,547,2,8,ok
G1_SYNTH_QUAD,0.50,32,2215180582,0.805907,0.365972,0.516212,0.439935,0.289695,547,547,2,7,ok
G1_SYNTH_QUAD,0.50,33,566200921,1.182497,0.525500,0.739082,0.656997,0.443415,546,546,2,9,ok
G1_SYNTH_QUAD,0.50,34,1275886752,0.699691,0.331073,0.434186,0.368618,0.265505,547,547,2,7,ok
G1_SYNTH_QUAD,0.50,35,4005473901,0.508059,0.241873,0.277099,0.266186,0.230960,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,36,143194738,0.464654,0.471049,0.468988,-0.006396,-0.004334,547,547,2,6,ok
G1_SYNTH_QUAD,0.50,37,3218486938,0.482199,0.403695,0.413987,0.078504,0.068212,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,38,1485159926,0.378642,0.199191,0.236939,0.179451,0.141703,547,547,2,7,ok
G1_SYNTH_QUAD,0.50,39,1838217241,0.536513,0.452695,0.478174,0.083818,0.058339,546,546,2,8,ok
G1_SYNTH_QUAD,1.00,0,3642877428,1.502106,0.976867,1.139046,0.525239,0.363061,547,547,3,11,ok
G1_SYNTH_QUAD,1.00,1,2619454,2.125512,1.085828,1.461416,1.039684,0.664096,547,547,3,14,ok
G1_SYNTH_QUAD,1.00,2,3189892480,0.720151,0.805982,0.732752,-0.085831,-0.012601,547,547,3,11,ok
