frame,evaluated,status,calibration_provenance,emitted_player_rows,camera_lock_id,fresh_solve_count,drift_residual_px,drift_evidence_count
292,True,calibration_unavailable,unavailable,0,79,0,,0
293,True,calibration_unavailable,unavailable,0,79,0,,0
294,True,calibration_unavailable,unavailable,0,79,0,,0
295,True,calibration_unavailable,unavailable,0,79,0,,0
296,True,calibration_unavailable,unavailable,0,79,0,,0
297,True,calibration_unavailable,unavailable,0,79,0,,0
298,True,calibration_unavailable,unavailable,0,79,0,,0
299,True,emitted_players,solved,2,80,1,0.0,4
300,True,emitted_players,solved,2,80,2,0.0,4
301,True,emitted_players,solved,2,80,3,3.9699864387512207,4
302,True,emitted_players,solved,2,80,4,1.3774595260620117,4
303,True,emitted_players,camera_lock_drift_checked,2,80,4,2.5048494935035706,6
304,True,calibration_unavailable,unavailable,0,81,0,,0
305,True,calibration_unavailable,unavailable,0,81,0,,0
306,True,calibration_unavailable,unavailable,0,82,0,,0
307,True,calibration_unavailable,unavailable,0,83,0,,0
308,True,calibration_unavailable,unavailable,0,84,0,,0
309,True,calibration_unavailable,unavailable,0,84,0,,0
310,True,calibration_unavailable,unavailable,0,84,0,,0
311,True,calibration_unavailable,unavailable,0,84,0,,0
312,True,calibration_unavailable,unavailable,0,85,0,,0
313,True,calibration_unavailable,unavailable,0,85,0,,0
314,True,calibration_unavailable,unavailable,0,85,0,,0
315,True,calibration_unavailable,unavailable,0,85,0,,0
316,True,calibration_unavailable,unavailable,0,86,0,,0
317,True,calibration_unavailable,unavailable,0,87,0,,0
318,True,calibration_unavailable,unavailable,0,88,0,,0
319,True,calibration_unavailable,unavailable,0,89,0,,0
320,True,calibration_unavailable,unavailable,0,89,0,,0
321,True,calibration_unavailable,unavailable,0,90,0,,0
322,True,calibration_unavailable,unavailable,0,90,0,,0
323,True,calibration_unavailable,unavailable,0,90,0,,0
324,True,calibration_unavailable,unavailable,0,90,0,,0
325,True,calibration_unavailable,unavailable,0,90,0,,0
326,True,calibration_unavailable,unavailable,0,91,0,,0
327,True,calibration_unavailable,unavailable,0,91,0,,0
328,True,calibration_unavailable,unavailable,0,91,0,,0
329,True,calibration_unavailable,unavailable,0,91,0,,0
330,True,calibration_unavailable,unavailable,0,91,0,,0
331,True,calibration_unavailable,unavailable,0,91,0,,0
332,True,calibration_unavailable,unavailable,0,92,0,,0
333,True,calibration_unavailable,unavailable,0,93,0,,0
334,True,calibration_unavailable,unavailable,0,93,0,,0
335,True,calibration_unavailable,unavailable,0,94,0,,0
336,True,calibration_unavailable,unavailable,0,95,0,,0
337,True,calibration_unavailable,unavailable,0,96,0,,0
338,True,calibration_unavailable,unavailable,0,97,0,,0
339,True,calibration_unavailable,unavailable,0,97,0,,0
340,True,calibration_unavailable,unavailable,0,97,0,,0
341,True,calibration_unavailable,unavailable,0,97,0,,0
342,True,calibration_unavailable,unavailable,0,97,0,,0
343,True,calibration_unavailable,unavailable,0,97,0,,0
344,True,calibration_unavailable,unavailable,0,97,0,,0
345,True,calibration_unavailable,unavailable,0,97,0,,0
346,True,calibration_unavailable,unavailable,0,97,0,,0
347,True,calibration_unavailable,unavailable,0,97,0,,0
348,True,calibration_unavailable,unavailable,0,98,0,,0
349,True,calibration_unavailable,unavailable,0,99,0,,0
350,True,calibration_unavailable,unavailable,0,100,0,,0
351,True,calibration_unavailable,unavailable,0,100,0,,0
352,True,calibration_unavailable,unavailable,0,100,0,,0
353,True,calibration_unavailable,unavailable,0,100,0,,0
354,True,calibration_unavailable,unavailable,0,100,0,,0
355,True,calibration_unavailable,unavailable,0,100,0,,0
356,True,calibration_unavailable,unavailable,0,101,0,,0
357,True,calibration_unavailable,unavailable,0,101,0,,0
358,True,calibration_unavailable,unavailable,0,101,0,,0
359,True,calibration_unavailable,unavailable,0,102,0,,0
360,True,calibration_unavailable,unavailable,0,102,0,,0
361,True,calibration_unavailable,unavailable,0,103,0,,0
362,True,calibration_unavailable,unavailable,0,103,0,,0
363,True,calibration_unavailable,unavailable,0,103,0,,0
364,True,calibration_unavailable,unavailable,0,103,0,,0
365,True,calibration_unavailable,unavailable,0,103,0,,0
366,True,calibration_unavailable,unavailable,0,103,0,,0
367,True,calibration_unavailable,unavailable,0,104,0,,0
368,True,calibration_unavailable,unavailable,0,104,0,,0
369,True,calibration_unavailable,unavailable,0,105,0,,0
370,True,emitted_players,solved,2,106,1,0.0,4
371,True,calibration_unavailable,unavailable,0,106,1,,0
372,True,calibration_unavailable,unavailable,0,106,1,,0
373,True,calibration_unavailable,unavailable,0,106,1,,0
374,True,calibration_unavailable,unavailable,0,106,1,,0
375,True,calibration_unavailable,unavailable,0,106,1,,0
376,True,calibration_unavailable,unavailable,0,106,1,,0
377,True,calibration_unavailable,unavailable,0,106,1,,0
378,True,calibration_unavailable,unavailable,0,106,1,,0
379,True,calibration_unavailable,unavailable,0,106,1,,0
380,True,calibration_unavailable,unavailable,0,106,1,,0
381,True,calibration_unavailable,unavailable,0,106,1,,0
382,True,calibration_unavailable,unavailable,0,106,1,,0
383,True,calibration_unavailable,unavailable,0,107,0,,0
384,True,calibration_unavailable,unavailable,0,108,0,,0
385,True,calibration_unavailable,unavailable,0,109,0,,0
386,True,calibration_unavailable,unavailable,0,109,0,,0
387,True,calibration_unavailable,unavailable,0,110,0,,0
388,True,calibration_unavailable,unavailable,0,110,0,,0
389,True,calibration_unavailable,unavailable,0,111,0,,0
390,True,calibration_unavailable,unavailable,0,111,0,,0
391,True,calibration_unavailable,unavailable,0,111,0,,0
392,True,calibration_unavailable,unavailable,0,111,0,,0
393,True,calibration_unavailable,unavailable,0,111,0,,0
394,True,calibration_unavailable,unavailable,0,111,0,,0
395,True,calibration_unavailable,unavailable,0,111,0,,0
396,True,calibration_unavailable,unavailable,0,111,0,,0
397,True,emitted_players,solved,2,112,1,0.0,4
398,True,emitted_players,solved,2,112,2,0.0,4
399,True,emitted_players,solved,2,112,3,1.7264939546585083,4
400,True,emitted_players,solved,2,112,4,1.6475416421890259,4
401,True,calibration_unavailable,unavailable,0,113,0,,0
402,True,calibration_unavailable,unavailable,0,113,0,,0
403,True,calibration_unavailable,unavailable,0,113,0,,0
404,True,calibration_unavailable,unavailable,0,114,0,,0
405,True,calibration_unavailable,unavailable,0,114,0,,0
406,True,calibration_unavailable,unavailable,0,115,0,,0
407,True,calibration_unavailable,unavailable,0,115,0,,0
408,True,calibration_unavailable,unavailable,0,116,0,,0
409,True,calibration_unavailable,unavailable,0,117,0,,0
410,True,calibration_unavailable,unavailable,0,118,0,,0
411,True,calibration_unavailable,unavailable,0,118,0,,0
412,True,emitted_players,solved,2,119,1,0.0,4
413,True,calibration_unavailable,unavailable,0,119,1,,0
414,True,emitted_players,solved,2,119,2,0.0,4
415,True,emitted_players,solved,2,119,3,0.5604686141014099,4
416,True,emitted_players,solved,2,120,1,11.840723037719727,4
417,True,calibration_unavailable,unavailable,0,120,1,,0
418,True,calibration_unavailable,unavailable,0,120,1,,0
419,True,calibration_unavailable,unavailable,0,120,1,,0
420,True,calibration_unavailable,unavailable,0,120,1,,0
421,True,emitted_players,solved,2,120,2,0.0,4
422,True,calibration_unavailable,unavailable,0,120,2,,0
423,True,calibration_unavailable,unavailable,0,120,2,,0
424,True,calibration_unavailable,unavailable,0,120,2,,0
425,True,calibration_unavailable,unavailable,0,120,2,,0
426,True,emitted_players,solved,2,121,1,6.376948356628418,4
427,True,emitted_players,solved,2,121,2,1.6239149570465088,4
428,True,emitted_players,solved,2,121,3,1.035789966583252,4
429,True,emitted_players,solved,2,121,4,1.9986231327056885,4
430,True,calibration_unavailable,unavailable,0,122,0,,0
431,True,calibration_unavailable,unavailable,0,122,0,,0
432,True,calibration_unavailable,unavailable,0,122,0,,0
433,True,calibration_unavailable,unavailable,0,123,0,,0
434,True,calibration_unavailable,unavailable,0,123,0,,0
435,True,calibration_unavailable,unavailable,0,123,0,,0
436,True,calibration_unavailable,unavailable,0,124,0,,0
437,True,calibration_unavailable,unavailable,0,124,0,,0
438,True,calibration_unavailable,unavailable,0,125,0,,0
439,True,calibration_unavailable,unavailable,0,125,0,,0
440,True,calibration_unavailable,unavailable,0,126,0,,0
441,True,calibration_unavailable,unavailable,0,126,0,,0
442,True,calibration_unavailable,unavailable,0,126,0,,0
443,True,calibration_unavailable,unavailable,0,126,0,,0
444,True,calibration_unavailable,unavailable,0,126,0,,0
445,True,calibration_unavailable,unavailable,0,126,0,,0
446,True,calibration_unavailable,unavailable,0,126,0,,0
447,True,calibration_unavailable,unavailable,0,126,0,,0
