frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration,source_fps,source_height,source_duration
3165,46,player,64.95466613769531,5.734447956085205,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3168,45,player,3.2748212814331055,20.943134307861328,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3168,46,player,64.9355239868164,5.735194683074951,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3171,45,player,3.276811361312866,21.074609756469727,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3171,46,player,63.85018539428711,5.666622638702393,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3174,45,player,3.273623466491699,20.956296920776367,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3174,46,player,64.97589111328125,5.782496452331543,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3177,45,player,3.4091618061065674,21.10395622253418,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3177,46,player,63.176239013671875,5.690828800201416,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3180,45,player,3.4876620769500732,20.988056182861328,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3180,46,player,63.97271728515625,5.734123706817627,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3198,47,player,3.340574264526367,21.051210403442383,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3198,48,player,65.03042602539062,5.781590461730957,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3216,49,player,3.0527563095092773,21.189010620117188,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3216,50,player,64.82012176513672,5.709261894226074,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3225,49,player,3.0536110401153564,21.225828170776367,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3225,50,player,65.04310607910156,5.753987789154053,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3228,49,player,3.210545778274536,21.230709075927734,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3228,50,player,64.85892486572266,5.781410217285156,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3231,49,player,3.094221830368042,21.315853118896484,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3231,50,player,64.52713012695312,5.74372673034668,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3234,49,player,3.0733726024627686,21.264747619628906,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3234,50,player,64.99188995361328,5.754007339477539,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3249,51,player,3.192275285720825,21.19890022277832,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3249,52,player,64.7690200805664,5.8123087882995605,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3264,53,player,3.093761920928955,20.94227409362793,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3264,54,player,64.03499603271484,5.759579658508301,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3276,55,player,3.1959176063537598,20.72016143798828,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3276,56,player,63.8111686706543,5.707863807678223,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3279,55,player,3.154921770095825,20.73777961730957,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3279,56,player,64.0028305053711,5.735300064086914,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3294,57,player,3.488178253173828,20.70826530456543,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3294,58,player,64.51116943359375,5.817913055419922,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3300,57,player,3.6168580055236816,21.234052658081055,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3300,58,player,63.81548309326172,5.693009853363037,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3309,57,player,3.5844085216522217,21.621776580810547,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3309,58,player,63.87471008300781,5.566638469696045,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3312,57,player,3.641232967376709,21.246858596801758,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3312,58,player,64.18479919433594,5.668440341949463,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3318,57,player,4.815121650695801,21.146373748779297,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3318,58,player,63.61188888549805,5.842061519622803,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3345,59,player,4.5409135818481445,19.66124725341797,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3345,60,player,63.85722351074219,6.139592170715332,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3357,61,player,1.9316879510879517,20.197786331176758,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3357,62,player,64.9542236328125,5.54622745513916,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3360,61,player,1.39136803150177,20.308759689331055,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3360,62,player,63.66477584838867,5.01406717300415,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3363,61,player,1.4713985919952393,20.359012603759766,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3363,62,player,63.7656135559082,5.043928146362305,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3366,61,player,1.4239542484283447,20.655807495117188,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3366,62,player,63.658897399902344,4.927138805389404,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3390,63,player,1.5027508735656738,24.104583740234375,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3390,64,player,62.44053268432617,8.108481407165527,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3399,63,player,0.675229012966156,24.905494689941406,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3399,64,player,61.95596694946289,8.777167320251465,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3405,63,player,0.2462526559829712,25.6280460357666,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3405,64,player,63.06272888183594,9.377894401550293,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3408,63,player,-0.17069560289382935,25.8287410736084,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3408,64,player,64.69692993164062,9.721529960632324,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3411,63,player,-0.12431427836418152,26.11908531188965,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3411,64,player,62.525726318359375,10.118205070495605,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3423,65,player,-0.8781063556671143,26.957965850830078,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3423,66,player,64.0384292602539,11.793441772460938,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3438,67,player,-2.095759630203247,27.75778579711914,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3438,68,player,64.1593017578125,13.679121017456055,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3441,67,player,-2.6156420707702637,28.12115478515625,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3441,68,player,63.33319854736328,13.729613304138184,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3447,67,player,-3.5173752307891846,28.05447006225586,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3447,68,player,65.0530776977539,14.623943328857422,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3450,67,player,-3.664771318435669,28.267839431762695,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3450,68,player,65.18428802490234,14.79210376739502,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3453,67,player,-3.842008352279663,28.57587432861328,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3453,68,player,65.5606918334961,15.177142143249512,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4302,69,player,4.661868572235107,13.701754570007324,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4302,70,player,65.09063720703125,29.4261531829834,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4314,71,player,5.409950256347656,13.553887367248535,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4314,72,player,63.89064407348633,29.834291458129883,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4338,73,player,3.578909397125244,13.548813819885254,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4338,74,player,62.70721435546875,29.785402297973633,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4344,73,player,3.3898043632507324,13.580190658569336,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4344,74,player,64.8241958618164,30.724109649658203,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4359,75,player,3.7455286979675293,14.230537414550781,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4359,76,player,64.77367401123047,30.627685546875,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4374,77,player,3.73026967048645,14.069753646850586,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4374,78,player,67.89293670654297,31.968334197998047,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4380,77,player,3.4933063983917236,13.991358757019043,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4380,78,player,67.42701721191406,31.137229919433594,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4386,77,player,3.6902377605438232,13.8942232131958,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4386,78,player,65.57980346679688,30.380931854248047,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4395,77,player,3.47263240814209,13.352656364440918,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4395,78,player,66.15092468261719,30.48345947265625,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4398,77,player,3.3943278789520264,13.190185546875,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4398,78,player,66.14264678955078,30.38763427734375,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4401,77,player,3.3586599826812744,13.187270164489746,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4401,78,player,65.57818603515625,29.958620071411133,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4404,77,player,3.3367722034454346,12.969956398010254,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4404,78,player,67.29851531982422,30.701629638671875,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4413,77,player,3.2530770301818848,13.037304878234863,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4413,78,player,64.98908233642578,29.52721405029297,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4422,77,player,3.1528210639953613,12.847750663757324,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4422,78,player,66.71111297607422,30.175724029541016,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
4437,79,player,3.2218852043151855,12.69100570678711,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
