elapsed_min,attempt_id,pool,source_path,original_present,source_bytes
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-6sJXOThOUEY_s90.mp4,1,38692674
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-CKh4oSjKnbQ_s1703.mp4,1,51476313
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-CKh4oSjKnbQ_s3316.mp4,1,54842839
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-CKh4oSjKnbQ_s4929.mp4,1,60675556
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-CKh4oSjKnbQ_s6542.mp4,1,60782694
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-CKh4oSjKnbQ_s8155.mp4,1,18655047
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-CKh4oSjKnbQ_s90.mp4,1,34117687
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-lTRxUTuX-Tk_s1900.mp4,1,58463942
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-lTRxUTuX-Tk_s3710.mp4,1,54448513
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-lTRxUTuX-Tk_s5520.mp4,1,68738417
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-lTRxUTuX-Tk_s7330.mp4,1,68085943
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-lTRxUTuX-Tk_s90.mp4,1,38528975
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-lTRxUTuX-Tk_s9140.mp4,1,29366714
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-ldo5c1SYPPY_s8320.mp4,1,29406537
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-ldo5c1SYPPY_s90.mp4,1,45326506
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s1953.mp4,1,70343750
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s3816.mp4,1,60491651
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s5679.mp4,1,66317288
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s7542.mp4,1,66714177
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s90.mp4,1,42323024
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s9405.mp4,1,28232540
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-u55vdPRGwSY_s10370.mp4,1,56166730
