tick_key,baseline_loss,candidate_loss,n_train
wnba_5l4:606,0.1,0.1,000180
wnba_5l4:609,000000,0.1,000180
wnba_5l4:612,000000,0.1,000180
wnba_5l4:615,0.1,0.1,000180
wnba_5l4:618,0.1,0.1,000180
wnba_5l4:621,000000,000000,000180
wnba_5l4:624,000000,000000,000180
wnba_5l4:627,0.1,000000,000180
wnba_5l4:90,0.5,0.5,000180
wnba_5l4:93,000000,000000,000180
wnba_5l4:96,000000,000000,000180
wnba_5l4:99,000000,000000,000180
