section_id,set,frame,tick_class,sub_reason
1zPhldjbJnU_s1196,SEALED34,735,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,738,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,741,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,744,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,747,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,750,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,753,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,756,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,759,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,762,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,765,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,768,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,771,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,774,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,777,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,780,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,783,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,786,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,789,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,792,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,795,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,798,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,801,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,804,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,807,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,810,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,813,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,816,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,819,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,822,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,825,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,828,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,831,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,834,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,837,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,840,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,843,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,846,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,849,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,852,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,855,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,858,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,861,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,864,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,867,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,870,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,873,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,876,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,879,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,882,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,885,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,888,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,891,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,894,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,897,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,900,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,903,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,906,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,909,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,912,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,915,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,918,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,921,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,924,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,927,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,930,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,933,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,936,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,939,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,942,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,945,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,948,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,951,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,954,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,957,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,960,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,963,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,966,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,969,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,972,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,975,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,978,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,981,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,984,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,987,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,990,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,993,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,996,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,999,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1002,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1005,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1008,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1011,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1014,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1017,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1020,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1023,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1026,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1029,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1032,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1035,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1038,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1041,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1044,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1047,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1050,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1053,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1056,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1059,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1062,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1065,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1068,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1071,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,1074,OBSERVED,
