section_id,set,pin,live_sha256,g370_sha256,tables_from,sidecars_from,pin_check
XzIzQZBrPBY_s90,FRESH69,0583f412fb944eb52a4baef1c40290047c7cba06765609b7f05db5390d159202,0583f412fb944eb52a4baef1c40290047c7cba06765609b7f05db5390d159202,0583f412fb944eb52a4baef1c40290047c7cba06765609b7f05db5390d159202,/workspace/data/tracking/XzIzQZBrPBY_s90,/workspace/data/tracking/XzIzQZBrPBY_s90,MATCH
acb-8Oh7-GrvKvE_s2630,SEALED34,dcfc2b7d90ae9c55519b557bb366966038e2c95f8697558d6cef6d1149e500a2,dcfc2b7d90ae9c55519b557bb366966038e2c95f8697558d6cef6d1149e500a2,ABSENT,/workspace/data/tracking/acb-8Oh7-GrvKvE_s2630,/workspace/data/tracking/acb-8Oh7-GrvKvE_s2630,MATCH
acb-8Oh7-GrvKvE_s6440,SEALED34,909178536fcf1fd139552837c563cd3ff2ac5178b6c3ab42ff7601d113e35f62,909178536fcf1fd139552837c563cd3ff2ac5178b6c3ab42ff7601d113e35f62,ABSENT,/workspace/data/tracking/acb-8Oh7-GrvKvE_s6440,/workspace/data/tracking/acb-8Oh7-GrvKvE_s6440,MATCH
eaKqXq9dfig_s259,FRESH69,a419de12429856db5b68cfd37226bd2277c212d31c3101372b70bbbe93add48a,a419de12429856db5b68cfd37226bd2277c212d31c3101372b70bbbe93add48a,a419de12429856db5b68cfd37226bd2277c212d31c3101372b70bbbe93add48a,/workspace/data/tracking/eaKqXq9dfig_s259,/workspace/data/tracking/eaKqXq9dfig_s259,MATCH
eaKqXq9dfig_s428,FRESH69,9dd2a8e37633d112197b312ebd305290bace94b06bf276876c264342904caacd,9dd2a8e37633d112197b312ebd305290bace94b06bf276876c264342904caacd,9dd2a8e37633d112197b312ebd305290bace94b06bf276876c264342904caacd,/workspace/data/tracking/eaKqXq9dfig_s428,/workspace/data/tracking/eaKqXq9dfig_s428,MATCH
eaKqXq9dfig_s90,FRESH69,91fcf9e9f99bd85b27d69133faa39e062090d42090a969f145125bf28ec3c2d4,91fcf9e9f99bd85b27d69133faa39e062090d42090a969f145125bf28ec3c2d4,91fcf9e9f99bd85b27d69133faa39e062090d42090a969f145125bf28ec3c2d4,/workspace/data/tracking/eaKqXq9dfig_s90,/workspace/data/tracking/eaKqXq9dfig_s90,MATCH
eurocup-Y6POC6V1Y5E_s1221,SEALED34,f37d913a9baeb9d2a828be2260dd59536a0dffbb0ec2ca382da34332e115ba09,f37d913a9baeb9d2a828be2260dd59536a0dffbb0ec2ca382da34332e115ba09,ABSENT,/workspace/data/tracking/eurocup-Y6POC6V1Y5E_s1221,/workspace/data/tracking/eurocup-Y6POC6V1Y5E_s1221,MATCH
eurocup-Y6POC6V1Y5E_s3483,SEALED34,665eb1de9aa83c2fefc4ef7b4625f299c7aeed72c4a4a16443cc370b0940aa84,665eb1de9aa83c2fefc4ef7b4625f299c7aeed72c4a4a16443cc370b0940aa84,ABSENT,/workspace/data/tracking/eurocup-Y6POC6V1Y5E_s3483,/workspace/data/tracking/eurocup-Y6POC6V1Y5E_s3483,MATCH
eurocup-Y6POC6V1Y5E_s5745,SEALED34,a736b5ce3c0331638252e3f913302a3e7594674230e50e08dd68bb96643ba923,a736b5ce3c0331638252e3f913302a3e7594674230e50e08dd68bb96643ba923,ABSENT,/workspace/data/tracking/eurocup-Y6POC6V1Y5E_s5745,/workspace/data/tracking/eurocup-Y6POC6V1Y5E_s5745,MATCH
euroleague-AIPW_g_VZN0_s1153,SEALED34,3b2e733b3d09b7ee999f485f913f262ff688b004c30202eb787841380d2b12e8,3b2e733b3d09b7ee999f485f913f262ff688b004c30202eb787841380d2b12e8,ABSENT,/workspace/data/tracking/euroleague-AIPW_g_VZN0_s1153,/workspace/data/tracking/euroleague-AIPW_g_VZN0_s1153,MATCH
euroleague-AIPW_g_VZN0_s3279,SEALED34,ecbc261c780bc94953b21f60ecdb4000ff63303f3c4104e5f64c55d44b30468b,ecbc261c780bc94953b21f60ecdb4000ff63303f3c4104e5f64c55d44b30468b,ABSENT,/workspace/data/tracking/euroleague-AIPW_g_VZN0_s3279,/workspace/data/tracking/euroleague-AIPW_g_VZN0_s3279,MATCH
