game_id,eligible,table_readable,video_id_parsed,run_start_known
euroleague-Rwt3m7deGg0_s5338,1,1,1,1
euroleague-Rwt3m7deGg0_s6650,1,1,1,1
euroleague-Rwt3m7deGg0_s90,1,1,1,1
euroleague-a_GxgklBtEs_s1404,1,1,1,1
euroleague-a_GxgklBtEs_s2718,1,1,1,1
euroleague-a_GxgklBtEs_s4032,1,1,1,1
euroleague-a_GxgklBtEs_s5346,1,1,1,1
euroleague-a_GxgklBtEs_s6660,0,0,1,1
euroleague-a_GxgklBtEs_s90,1,1,1,1
euroleague-d3_0714DiHo_s217,1,1,1,1
euroleague-d3_0714DiHo_s344,1,1,1,1
euroleague-d3_0714DiHo_s90,1,1,1,1
euroleague-krbfJW7sYUk_s1466,1,1,1,1
euroleague-krbfJW7sYUk_s2842,1,1,1,1
euroleague-krbfJW7sYUk_s4218,1,1,1,1
euroleague-krbfJW7sYUk_s5594,1,1,1,1
euroleague-krbfJW7sYUk_s6970,0,0,1,1
euroleague-krbfJW7sYUk_s90,1,1,1,1
euroleague-xyoAURYLnQM_s1301,1,1,1,1
euroleague-xyoAURYLnQM_s2512,1,1,1,1
euroleague-xyoAURYLnQM_s3723,1,1,1,1
euroleague-xyoAURYLnQM_s4934,1,1,1,1
euroleague-xyoAURYLnQM_s6145,1,1,1,1
euroleague-xyoAURYLnQM_s90,0,0,1,1
euroleague-zud-2wkhjJY_s231,1,1,1,1
euroleague-zud-2wkhjJY_s372,1,1,1,1
euroleague-zud-2wkhjJY_s90,1,1,1,1
fXLNra4sjjU_s2961,1,1,1,1
fXLNra4sjjU_s5832,1,1,1,1
fXLNra4sjjU_s90,1,1,1,1
fiba--x4DRmtYn4Q_s3530,1,1,1,1
fiba--x4DRmtYn4Q_s6970,1,1,1,1
fiba--x4DRmtYn4Q_s90,1,1,1,1
fiba-14Mh4JjtLVg_s1414,1,1,1,1
fiba-14Mh4JjtLVg_s2738,1,1,1,1
fiba-14Mh4JjtLVg_s4062,1,1,1,1
fiba-14Mh4JjtLVg_s5386,1,1,1,1
fiba-14Mh4JjtLVg_s6710,1,1,1,1
fiba-14Mh4JjtLVg_s90,1,1,1,1
fiba-1DKl1QOo_b8_s1289,1,1,1,1
fiba-1DKl1QOo_b8_s2488,1,1,1,1
fiba-1DKl1QOo_b8_s3687,1,1,1,1
fiba-1DKl1QOo_b8_s4886,1,1,1,1
fiba-1DKl1QOo_b8_s90,1,1,1,1
fiba-58p-Cj2gY7I_s1400,1,1,1,1
fiba-58p-Cj2gY7I_s2710,0,0,1,1
fiba-58p-Cj2gY7I_s4020,1,1,1,1
fiba-58p-Cj2gY7I_s5330,1,1,1,1
fiba-58p-Cj2gY7I_s90,1,1,1,1
fiba-7HQqWMaKxpA_s1455,1,1,1,1
fiba-7HQqWMaKxpA_s2820,1,1,1,1
fiba-7HQqWMaKxpA_s4185,1,1,1,1
fiba-7HQqWMaKxpA_s5550,1,1,1,1
fiba-7HQqWMaKxpA_s6915,1,1,1,1
fiba-7HQqWMaKxpA_s90,1,1,1,1
fiba-A2W5ZjAgr7M_s1417,1,1,1,1
fiba-A2W5ZjAgr7M_s2744,1,1,1,1
fiba-A2W5ZjAgr7M_s4071,1,1,1,1
fiba-A2W5ZjAgr7M_s5398,1,1,1,1
fiba-A2W5ZjAgr7M_s6725,1,1,1,1
fiba-A2W5ZjAgr7M_s90,0,0,1,1
fiba-Byk8aH-n_U4_s1426,1,1,1,1
fiba-Byk8aH-n_U4_s2762,1,1,1,1
fiba-Byk8aH-n_U4_s4098,1,1,1,1
fiba-Byk8aH-n_U4_s5434,1,1,1,1
fiba-Byk8aH-n_U4_s6770,1,1,1,1
fiba-Byk8aH-n_U4_s90,1,1,1,1
fiba-CdynrenF-Kg_s1390,1,1,1,1
fiba-CdynrenF-Kg_s2690,1,1,1,1
fiba-CdynrenF-Kg_s3990,1,1,1,1
fiba-CdynrenF-Kg_s5290,1,1,1,1
fiba-CdynrenF-Kg_s6590,1,1,1,1
fiba-CdynrenF-Kg_s90,1,1,1,1
fiba-IGcau1WL8Q0_s1464,1,1,1,1
fiba-IGcau1WL8Q0_s2838,1,1,1,1
fiba-IGcau1WL8Q0_s4212,1,1,1,1
fiba-IGcau1WL8Q0_s5586,1,1,1,1
fiba-IGcau1WL8Q0_s6960,1,1,1,1
fiba-IGcau1WL8Q0_s90,1,1,1,1
fiba-UG_eQNRDHiI_s1385,1,1,1,1
fiba-UG_eQNRDHiI_s2680,1,1,1,1
fiba-UG_eQNRDHiI_s3975,1,1,1,1
fiba-UG_eQNRDHiI_s5270,1,1,1,1
fiba-UG_eQNRDHiI_s6565,0,0,1,1
fiba-UG_eQNRDHiI_s90,1,1,1,1
fiba-V8EqyiPvweM_s1268,1,1,1,1
fiba-V8EqyiPvweM_s2446,1,1,1,1
fiba-V8EqyiPvweM_s3624,1,1,1,1
fiba-V8EqyiPvweM_s4802,1,1,1,1
fiba-V8EqyiPvweM_s90,1,1,1,1
fiba-XKDW0xL3yKc_s1331,1,1,1,1
fiba-XKDW0xL3yKc_s2572,1,1,1,1
fiba-XKDW0xL3yKc_s3813,1,1,1,1
fiba-XKDW0xL3yKc_s5054,1,1,1,1
fiba-XKDW0xL3yKc_s6295,1,1,1,1
fiba-XKDW0xL3yKc_s90,1,1,1,1
fiba-Y1cgaIWW8gk_s1437,1,1,1,1
fiba-Y1cgaIWW8gk_s2784,1,1,1,1
