game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss
0022500035,418,CHI,62484,62570,87,2.9,795.1,1064.2,-40.6,0,0,,0,transition,,,0,0,0,9,223,0,394.8,21.2,backcourt,,0
0022500035,419,MIL,62571,62723,153,5.11,1066.4,681.9,27.08,3,0,,0,transition,,,0,2,0,6,472,0,285.5,19.0,3pt_arc,,0
0022500035,420,CHI,62724,62939,216,7.21,399.4,581.6,-5.72,4,0,,0,transition,,,2,0,0,8,471,0,117.0,16.9,mid_range,,0
0022500035,421,MIL,62940,63542,602,20.07,1140.2,914.9,-18.64,7,1,63420,0,transition,,,7,1,0,17,379,0,847.5,15.2,3pt_arc,,0
0022500035,426,CHI,63543,63620,78,2.6,375.5,731.5,1.89,1,0,,0,transition,,,0,1,0,0,745,0,243.7,21.5,mid_range,,0
0022500035,427,MIL,63621,64130,509,16.97,1198.4,774.5,5.7,6,0,,0,fast_break,,,5,0,1,10,545,0,235.7,11.4,mid_range,,0
0022500035,430,CHI,64131,64361,231,7.71,247.3,558.8,,0,0,,0,off_screen,,,0,1,0,4,488,0,80.9,16.4,mid_range,0.0,0
0022500035,431,MIL,64362,64499,138,4.6,1183.0,815.6,-0.39,1,0,,0,cut,,,1,0,0,3,630,0,63.7,19.5,mid_range,,0
0022500035,434,CHI,64581,64781,201,6.71,176.1,617.5,-3.52,8,0,,0,transition,,,4,0,1,12,488,0,629.8,17.4,backcourt,,0
0022500035,435,MIL,64782,65009,227,7.57,1031.6,304.1,6.67,9,0,,0,transition,,,2,0,0,5,411,0,629.0,20.9,mid_range,,0
0022500035,438,CHI,65010,65228,219,7.31,96.8,1240.0,2.62,5,0,,0,transition,,,4,0,0,0,53,0,67.7,16.8,mid_range,,0
0022500035,439,MIL,65229,65891,662,22.07,,931.6,-21.92,1,0,,0,transition,,,2,0,0,0,117,0,,14.6,mid_range,,0
0022500035,444,CHI,65940,66020,81,2.7,139.8,811.3,,0,0,,0,transition,,,1,0,0,0,561,0,,21.4,backcourt,,0
0022500035,445,MIL,66021,66425,405,13.51,508.5,752.7,-0.77,9,0,,0,hand_off,,,1,5,0,10,772,1,176.3,10.6,corner_3,,0
0022500035,446,CHI,66426,66698,273,9.11,160.4,587.9,-2.77,14,0,,0,fast_break,,,14,2,0,14,352,0,438.7,15.0,backcourt,,0
0022500035,449,MIL,66765,66950,186,6.21,347.2,230.3,,0,0,,0,transition,,,5,2,0,3,340,0,463.8,17.9,backcourt,,0
0022500035,450,CHI,66951,67016,66,2.2,,,,0,0,,0,transition,,,0,0,0,1,466,0,102.7,21.9,backcourt,,0
0022500035,457,MIL,67233,67655,423,14.11,1006.5,934.8,-99.06,0,0,,0,off_screen,,,1,1,0,14,472,0,431.9,10.0,backcourt,,0
0022500035,458,CHI,67656,67838,182,6.07,,,,1,0,,0,off_screen,,,0,0,0,4,11,0,,21.9,backcourt,,0
