frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
22,0.367,2,green,944,957,0.0,0.0,0.0,3pt_arc,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,729,190,809,333,,,0.0,797.3,0.0,0,0,23,0,1.0
22,0.367,3,green,629,655,0.0,0.0,0.0,3pt_arc,0,,,381.4,none,423788.0,751.6,1157.8,2,0,,0.0,869,232,929,382,,,0.0,516.3,0.0,0,0,23,0,1.0
22,0.367,4,green,1025,1059,0.0,0.0,0.0,mid_range,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,672,183,750,317,,,0.0,895.3,0.0,0,0,23,0,1.0
22,0.367,5,green,816,1235,0.0,0.0,0.0,3pt_arc,0,,,273.2,none,423788.0,751.6,1157.8,2,0,,0.0,328,504,403,618,,,0.0,763.8,0.0,0,0,23,0,1.0
22,0.367,6,green,1077,1335,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,471,185,542,331,,,0.0,1040.8,0.0,0,0,23,0,1.0
22,0.367,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,400,552,484,673,,,0.0,452.5,0.0,0,0,23,0,1.0
22,0.367,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,17,575,98,673,,,0.0,638.7,0.0,0,0,23,0,1.0
22,0.367,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,423788.0,751.6,1157.8,2,0,,0.0,619,602,699,675,,,0.0,272.9,0.0,0,0,23,0,1.0
23,0.384,1,green,1053,1546,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,234,232,290,385,,,0.0,1134.2,0.0,0,0,24,0,1.0
23,0.384,2,green,944,957,0.0,0.0,0.0,3pt_arc,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,731,190,809,334,,,0.0,797.3,0.0,0,0,24,0,1.0
