attempt_id,ledger_line,section_id,competition,video,source_start,status,terminal,route_identity,declared_kind,declared_resolution,declared_height,declared_fps,declared_duration,rows,decoded_frames,evaluated_frames,stride,passed,finished_at,probe_status,measured_kind,measured_width,measured_height,measured_fps,source_sha256,source_filename,outputs_present,draw_kind,draw_order,population
L00028:mil_chi_2025,28,mil_chi_2025,nba,mil_chi_2025,000000000,tracked,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,906.4722333333334,2642,54334,9056,6,False,1788818744,ABSENT,UNKNOWN,,,,,nba__mil_chi_2025.mp4,1,720p60,10,41
L00056:nba_highlights_gsw,56,nba_highlights_gsw,nba,nba_highlights_gsw,000000000,thin,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,979.4785,0,,,,,1788824225,ABSENT,UNKNOWN,,,,,nba__nba_highlights_gsw.mp4,0,720p60,11,41
L00052:phi_tor_2025,52,phi_tor_2025,nba,phi_tor_2025,000000000,thin,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,904.6537500000001,0,,,,,1788823929,ABSENT,UNKNOWN,,,,,nba__phi_tor_2025.mp4,0,720p60,12,41
L00057:sac_por_2025,57,sac_por_2025,nba,sac_por_2025,000000000,thin,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,1058.0903666666668,0,,,,,1788824225,ABSENT,UNKNOWN,,,,,nba__sac_por_2025.mp4,0,720p60,13,41
L01954:6rQ2sV4upfc_s90,1954,6rQ2sV4upfc_s90,ncaa_basketball,6rQ2sV4upfc,000000090,tracked,1,ORIGINAL,720p60,1280x720,720,59.9400649176314,133.80032222222223,2316,7793,1299,6,False,1789128743,OK,720p60,1280,720,59.9400649176314,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,ncaa_basketball__6rQ2sV4upfc_s90.mp4,1,720p60,14,41
L01952:6rQ2sV4upfc_s2928,1952,6rQ2sV4upfc_s2928,ncaa_basketball,6rQ2sV4upfc,000002928,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006499964463,131.6314888888889,1601,7793,1299,6,False,1789128703,OK,720p60,1280,720,59.94006499964463,48797240284ab6b9869d00fc56579276c39fa5207b50172801e4b87c1bdf5142,ncaa_basketball__6rQ2sV4upfc_s2928.mp4,1,720p60,15,41
L01953:6rQ2sV4upfc_s4347,1953,6rQ2sV4upfc_s4347,ncaa_basketball,6rQ2sV4upfc,000004347,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006249086643,130.54707777777776,1088,7793,1299,6,False,1789128723,OK,720p60,1280,720,59.94006249086643,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,ncaa_basketball__6rQ2sV4upfc_s4347.mp4,1,720p60,16,41
L01959:7blRl4zVfrY_s90,1959,7blRl4zVfrY_s90,ncaa_basketball,7blRl4zVfrY,000000090,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006497920702,132.16535555555555,1674,7793,1299,6,False,1789128864,OK,720p60,1280,720,59.94006497920702,38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698,ncaa_basketball__7blRl4zVfrY_s90.mp4,1,720p60,17,41
L01956:7blRl4zVfrY_s2356,1956,7blRl4zVfrY_s2356,ncaa_basketball,7blRl4zVfrY,000002356,tracked,1,ORIGINAL,720p60,1280x720,720,59.940065051471365,130.29682222222223,2374,7793,1299,6,False,1789128824,OK,720p60,1280,720,59.940065051471365,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,ncaa_basketball__7blRl4zVfrY_s2356.mp4,1,720p60,18,41
L01957:7blRl4zVfrY_s3489,1957,7blRl4zVfrY_s3489,ncaa_basketball,7blRl4zVfrY,000003489,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006248112433,131.04757777777778,1449,7794,1299,6,False,1789128844,OK,720p60,1280,720,59.94006248112433,b5d027dbca93a647b4545a8a1e5b9f7da80e078b394f74fd504c5c0e8e7b31ea,ncaa_basketball__7blRl4zVfrY_s3489.mp4,1,720p60,19,41
L01963:FyMWTVsJvv8_s90,1963,FyMWTVsJvv8_s90,ncaa_basketball,FyMWTVsJvv8,000000090,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006488556578,134.66785555555555,2289,7793,1299,6,False,1789128985,OK,720p60,1280,720,59.94006488556578,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957,ncaa_basketball__FyMWTVsJvv8_s90.mp4,1,720p60,20,41
L01960:FyMWTVsJvv8_s1504,1960,FyMWTVsJvv8_s1504,ncaa_basketball,FyMWTVsJvv8,000001504,tracked,1,ORIGINAL,720p60,1280x720,720,59.940064961459086,132.63248888888887,1920,7794,1299,6,False,1789128924,OK,720p60,1280,720,59.940064961459086,559d259fd7d71507ee61d4bc24886a71c071fb196fbd48b93618b0e787f1a3f9,ncaa_basketball__FyMWTVsJvv8_s1504.mp4,1,720p60,21,41
L01961:FyMWTVsJvv8_s2918,1961,FyMWTVsJvv8_s2918,ncaa_basketball,FyMWTVsJvv8,000002918,tracked,1,ORIGINAL,720p60,1280x720,720,59.940062457409006,132.28214444444444,2487,7793,1299,6,False,1789128945,OK,720p60,1280,720,59.940062457409006,b7e7601c42f7c162ec6b1c562b2888c81a4ce467ba0cb2d1c31c01a5c1e54978,ncaa_basketball__FyMWTVsJvv8_s2918.mp4,1,720p60,22,41
L01968:Ge4uewCFUFQ_s90,1968,Ge4uewCFUFQ_s90,ncaa_basketball,Ge4uewCFUFQ,000000090,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006494007537,133.19972222222222,1457,7793,1299,6,False,1789129105,OK,720p60,1280,720,59.94006494007537,b89463951cc4ed27c1fd3bf32c52d012c3ba845322f96143a5f9099e5d5cf83d,ncaa_basketball__Ge4uewCFUFQ_s90.mp4,1,720p60,23,41
L01964:Ge4uewCFUFQ_s1236,1964,Ge4uewCFUFQ_s1236,ncaa_basketball,Ge4uewCFUFQ,000001236,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006492882814,133.5000222222222,1077,7794,1299,6,False,1789129045,OK,720p60,1280,720,59.94006492882814,21ab04dc4cc4ba7cb2c20ce2ec78045eef4729ac35ab7c3dbe6b93f3cff62ed2,ncaa_basketball__Ge4uewCFUFQ_s1236.mp4,1,720p60,24,41
L01965:Ge4uewCFUFQ_s2382,1965,Ge4uewCFUFQ_s2382,ncaa_basketball,Ge4uewCFUFQ,000002382,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006241434539,134.58444444444444,2379,7793,1299,6,False,1789129065,OK,720p60,1280,720,59.94006241434539,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,1,720p60,25,41
L01967:Ge4uewCFUFQ_s4674,1967,Ge4uewCFUFQ_s4674,ncaa_basketball,Ge4uewCFUFQ,000004674,tracked,1,ORIGINAL,720p60,1280x720,720,59.94006502154202,131.06425555555555,1643,7794,1299,6,False,1789129085,OK,720p60,1280,720,59.94006502154202,081a5b8634af9e6ef013ebb6215c2fcf698308f6e35ca8e045daf1c4a5d69932,ncaa_basketball__Ge4uewCFUFQ_s4674.mp4,1,720p60,26,41
L01972:IpR4pT8iN0Y_s90,1972,IpR4pT8iN0Y_s90,ncaa_basketball,IpR4pT8iN0Y,000000090,tracked,1,ORIGINAL,720p60,1280x720,720,59.940065028018545,130.89742222222222,2313,7793,1299,6,False,1789129827,OK,720p60,1280,720,59.940065028018545,dd151d31a85857e0933192d1a032670f74c2b72f5753f4f4f82190ef82568594,ncaa_basketball__IpR4pT8iN0Y_s90.mp4,1,720p60,27,41
L01970:IpR4pT8iN0Y_s2432,1970,IpR4pT8iN0Y_s2432,ncaa_basketball,IpR4pT8iN0Y,000002432,tracked,1,ORIGINAL,720p60,1280x720,720,59.9400648831163,134.73458888888888,1876,7793,1299,6,False,1789129766,OK,720p60,1280,720,59.9400648831163,d2e9618fca2988d0e74654b65178e7b219551eeb90c17275e5f2e5f8a94765fe,ncaa_basketball__IpR4pT8iN0Y_s2432.mp4,1,720p60,28,41
L01971:IpR4pT8iN0Y_s3603,1971,IpR4pT8iN0Y_s3603,ncaa_basketball,IpR4pT8iN0Y,000003603,tracked,1,ORIGINAL,720p60,1280x720,720,59.940064916390426,133.8336888888889,2990,7793,1299,6,False,1789129807,OK,720p60,1280,720,59.940064916390426,b759425f9be982b2a38e48b165364e1c159031e2aec312f7ce9640424241b882,ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,1,720p60,29,41
