frame,state,raw_rows,unique_players,emitting,section_id
1575,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1578,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1581,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1584,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1587,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1590,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1593,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1596,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1599,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1602,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1605,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1608,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1611,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1614,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1617,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1620,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1623,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1626,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1629,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1632,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1635,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1638,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1641,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1644,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1647,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1650,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1653,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1656,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1659,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1662,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1665,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1668,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1671,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1674,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1677,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1680,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1683,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1686,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1689,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1692,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1695,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1698,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1701,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1704,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1707,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1710,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1713,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1716,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1719,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1722,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1725,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1728,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1731,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1734,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1737,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1740,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1743,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1746,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1749,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1752,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1755,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1758,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1761,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1764,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1767,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1770,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1773,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1776,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1779,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1782,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1785,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1788,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1791,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1794,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1797,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1800,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1803,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1806,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1809,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1812,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1815,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1818,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1821,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
