audit_id,rank,x_px,y_px,nearest_target_distance_px,on_any_target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,2,1622,995,178.339564,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,3,1569,1005,219.276082,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,4,1693,1005,161.276161,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,5,1709,1005,159.380049,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,6,1349,999,168.047612,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,7,1633,1005,181.24569,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,8,1656,1005,171.3972,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,9,1618,1005,188.904738,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,10,1269,1001,189.620674,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,11,1584,1005,209.229539,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,12,1239,1001,204.685124,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,13,1372,1001,171.05847,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,14,1349,983,152.052622,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,15,1694,991,147.312593,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,16,1599,1005,199.804905,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,17,1671,1005,166.379085,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,18,1569,991,209.346603,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,19,1633,991,169.097605,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,20,1594,977,181.760832,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,21,1675,995,155.647037,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,22,1658,977,144.931018,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,23,1645,1005,175.801024,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,24,1681,977,136.682113,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,25,321,961,1040.155758,False
