ordinal,file_name,sport,stratum,stratum_start_fraction,stratum_end_fraction,frame_count,source_frame,fps,width,height,decode_status,render_path
27,mlb__mlb_PPj97yvNGOo.mp4,mlb,2,0.35,0.65,36387,13827,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_PPj97yvNGOo__s2_f013827.jpg
27,mlb__mlb_PPj97yvNGOo.mp4,mlb,3,0.65,0.9,36387,25836,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_PPj97yvNGOo__s3_f025836.jpg
28,mlb__mlb_dVNOESziFWQ.mp4,mlb,1,0.1,0.35,28944,5502,30.00000000,1280,720,decoded,renders/mlb/mlb__mlb_dVNOESziFWQ__s1_f005502.jpg
28,mlb__mlb_dVNOESziFWQ.mp4,mlb,2,0.35,0.65,28944,12073,30.00000000,1280,720,decoded,renders/mlb/mlb__mlb_dVNOESziFWQ__s2_f012073.jpg
28,mlb__mlb_dVNOESziFWQ.mp4,mlb,3,0.65,0.9,28944,20809,30.00000000,1280,720,decoded,renders/mlb/mlb__mlb_dVNOESziFWQ__s3_f020809.jpg
29,mlb__mlb_gMm3EODDb6w.mp4,mlb,1,0.1,0.35,36163,10020,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_gMm3EODDb6w__s1_f010020.jpg
29,mlb__mlb_gMm3EODDb6w.mp4,mlb,2,0.35,0.65,36163,22310,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_gMm3EODDb6w__s2_f022310.jpg
29,mlb__mlb_gMm3EODDb6w.mp4,mlb,3,0.65,0.9,36163,24980,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_gMm3EODDb6w__s3_f024980.jpg
30,mlb__mlb_ptIBgr6U1Y8.mp4,mlb,1,0.1,0.35,36073,7291,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_ptIBgr6U1Y8__s1_f007291.jpg
30,mlb__mlb_ptIBgr6U1Y8.mp4,mlb,2,0.35,0.65,36073,17847,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_ptIBgr6U1Y8__s2_f017847.jpg
30,mlb__mlb_ptIBgr6U1Y8.mp4,mlb,3,0.65,0.9,36073,31454,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_ptIBgr6U1Y8__s3_f031454.jpg
31,mlb__mlb_x6YpMlNYbrU.mp4,mlb,1,0.1,0.35,28832,4023,30.00000000,1280,720,decoded,renders/mlb/mlb__mlb_x6YpMlNYbrU__s1_f004023.jpg
31,mlb__mlb_x6YpMlNYbrU.mp4,mlb,2,0.35,0.65,28832,14819,30.00000000,1280,720,decoded,renders/mlb/mlb__mlb_x6YpMlNYbrU__s2_f014819.jpg
31,mlb__mlb_x6YpMlNYbrU.mp4,mlb,3,0.65,0.9,28832,20375,30.00000000,1280,720,decoded,renders/mlb/mlb__mlb_x6YpMlNYbrU__s3_f020375.jpg
32,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,ncaa_basketball,1,0.1,0.35,28905,4791,29.97002997,640,360,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s1_f004791.jpg
32,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,ncaa_basketball,2,0.35,0.65,28905,13591,29.97002997,640,360,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s2_f013591.jpg
32,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,ncaa_basketball,3,0.65,0.9,28905,20019,29.97002997,640,360,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s3_f020019.jpg
33,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,ncaa_basketball,1,0.1,0.35,18115,6281,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s1_f006281.jpg
33,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,ncaa_basketball,2,0.35,0.65,18115,8630,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s2_f008630.jpg
33,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,ncaa_basketball,3,0.65,0.9,18115,12707,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s3_f012707.jpg
34,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,ncaa_basketball,1,0.1,0.35,25194,5281,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s1_f005281.jpg
34,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,ncaa_basketball,2,0.35,0.65,25194,10652,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s2_f010652.jpg
34,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,ncaa_basketball,3,0.65,0.9,25194,20889,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s3_f020889.jpg
35,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,ncaa_basketball,1,0.1,0.35,28904,9418,29.97002997,1280,720,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s1_f009418.jpg
35,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,ncaa_basketball,2,0.35,0.65,28904,18354,29.97002997,1280,720,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s2_f018354.jpg
35,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,ncaa_basketball,3,0.65,0.9,28904,22629,29.97002997,1280,720,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s3_f022629.jpg
36,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,ncaa_basketball,1,0.1,0.35,28904,9711,29.97002997,1280,720,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s1_f009711.jpg
36,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,ncaa_basketball,2,0.35,0.65,28904,17068,29.97002997,1280,720,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s2_f017068.jpg
36,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,ncaa_basketball,3,0.65,0.9,28904,22665,29.97002997,1280,720,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s3_f022665.jpg
37,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,ncaa_basketball,1,0.1,0.35,28939,4072,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s1_f004072.jpg
37,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,ncaa_basketball,2,0.35,0.65,28939,18289,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s2_f018289.jpg
37,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,ncaa_basketball,3,0.65,0.9,28939,19271,29.97002997,1920,1080,decoded,renders/ncaa_basketball/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s3_f019271.jpg
38,npb__npb_01_720p.mp4,npb,1,0.1,0.35,18170,4260,30.00000000,1280,720,decoded,renders/npb/npb__npb_01_720p__s1_f004260.jpg
38,npb__npb_01_720p.mp4,npb,2,0.35,0.65,18170,11647,30.00000000,1280,720,decoded,renders/npb/npb__npb_01_720p__s2_f011647.jpg
38,npb__npb_01_720p.mp4,npb,3,0.65,0.9,18170,15649,30.00000000,1280,720,decoded,renders/npb/npb__npb_01_720p__s3_f015649.jpg
39,npb__npb_3PwJwWdTMek.mp4,npb,1,0.1,0.35,28796,6534,29.97002997,1280,720,decoded,renders/npb/npb__npb_3PwJwWdTMek__s1_f006534.jpg
39,npb__npb_3PwJwWdTMek.mp4,npb,2,0.35,0.65,28796,14041,29.97002997,1280,720,decoded,renders/npb/npb__npb_3PwJwWdTMek__s2_f014041.jpg
39,npb__npb_3PwJwWdTMek.mp4,npb,3,0.65,0.9,28796,23159,29.97002997,1280,720,decoded,renders/npb/npb__npb_3PwJwWdTMek__s3_f023159.jpg
