game_id,prefix,sport,status,video_id,offset_s,source_duration,source_resolution,finished_at,eligible,ineligible_reason
0KIBu1jQBL8_s2320,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,2320,133.066,1920x1080,1788865300,1,
0KIBu1jQBL8_s2385,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,2385,134.001,1920x1080,1789068520,1,
0KIBu1jQBL8_s3435,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,3435,132.299,1920x1080,1788866198,1,
0KIBu1jQBL8_s3500,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,3500,133.233,1920x1080,1789068601,1,
0KIBu1jQBL8_s4550,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,4550,131.498,1920x1080,1788866157,1,
0KIBu1jQBL8_s4615,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,4615,132.432,1920x1080,1789068581,1,
0KIBu1jQBL8_s5665,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,5665,130.731,1920x1080,1788866095,1,
0KIBu1jQBL8_s5730,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,5730,126.660,1920x1080,1789069445,1,
0KIBu1jQBL8_s90,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,90,134.635,1920x1080,1788867163,1,
1E5Rw89keTg_s155,wnba,wnba,tracked,1E5Rw89keTg,155,131.231,1920x1080,1789067544,1,
1E5Rw89keTg_s312,wnba,wnba,tracked,1E5Rw89keTg,312,134.067,1920x1080,1788870575,1,
1E5Rw89keTg_s377,wnba,wnba,tracked,1E5Rw89keTg,377,131.665,1920x1080,1789067564,1,
1E5Rw89keTg_s534,wnba,wnba,tracked,1E5Rw89keTg,534,133.033,1920x1080,1788870838,1,
1E5Rw89keTg_s599,wnba,wnba,tracked,1E5Rw89keTg,599,126.360,1920x1080,1789069627,1,
1E5Rw89keTg_s90,wnba,wnba,tracked,1E5Rw89keTg,90,136.570,1920x1080,1788873017,1,
1w-1LMPaxsI_s1310,ncaa_basketball,ncaa_basketball,tracked,1w-1LMPaxsI,1310,134.151,1920x1080,1789085163,1,
1w-1LMPaxsI_s2530,ncaa_basketball,ncaa_basketball,tracked,1w-1LMPaxsI,2530,131.999,1920x1080,1789085183,1,
1w-1LMPaxsI_s3750,ncaa_basketball,ncaa_basketball,tracked,1w-1LMPaxsI,3750,134.117,1920x1080,1789085203,1,
1w-1LMPaxsI_s4970,ncaa_basketball,ncaa_basketball,tracked,1w-1LMPaxsI,4970,136.403,1920x1080,1789085224,1,
1w-1LMPaxsI_s90,ncaa_basketball,ncaa_basketball,tracked,1w-1LMPaxsI,90,131.898,1920x1080,1789085405,1,
1zPhldjbJnU_s1196,wnba,wnba,tracked,1zPhldjbJnU,1196,130.333,1920x1080,1788913678,1,
1zPhldjbJnU_s2302,wnba,wnba,tracked,1zPhldjbJnU,2302,131.033,1920x1080,1788913821,1,
1zPhldjbJnU_s3408,wnba,wnba,tracked,1zPhldjbJnU,3408,131.467,1920x1080,1788913984,1,
1zPhldjbJnU_s4514,wnba,wnba,tracked,1zPhldjbJnU,4514,134.900,1920x1080,1788914045,1,
1zPhldjbJnU_s5620,wnba,wnba,tracked,1zPhldjbJnU,5620,135.133,1920x1080,1788914045,1,
1zPhldjbJnU_s90,wnba,wnba,tracked,1zPhldjbJnU,90,136.033,1920x1080,1788914005,1,
2bOgqv235pg_s1202,wnba,wnba,tracked,2bOgqv235pg,1202,130.464,1920x1080,1789081523,1,
2bOgqv235pg_s2314,wnba,wnba,tracked,2bOgqv235pg,2314,132.983,1920x1080,1789081565,1,
2bOgqv235pg_s3426,wnba,wnba,tracked,2bOgqv235pg,3426,131.431,1920x1080,1789081625,1,
2bOgqv235pg_s4538,wnba,wnba,tracked,2bOgqv235pg,4538,131.631,1920x1080,1789081665,1,
2bOgqv235pg_s90,wnba,wnba,tracked,2bOgqv235pg,90,132.265,1920x1080,1789081666,1,
3fT6aYz2N9w_s1339,nba,nba,tracked,3fT6aYz2N9w,1339,131.231,1920x1080,1788911836,1,
3fT6aYz2N9w_s2588,nba,nba,tracked,3fT6aYz2N9w,2588,133.934,1920x1080,1788911919,1,
3fT6aYz2N9w_s3837,nba,nba,thin,3fT6aYz2N9w,3837,134.534,1920x1080,1788912164,1,
3fT6aYz2N9w_s5086,nba,nba,tracked,3fT6aYz2N9w,5086,136.269,1920x1080,1788912307,1,
3fT6aYz2N9w_s6335,nba,nba,thin,3fT6aYz2N9w,6335,134.201,1920x1080,1788911919,1,
3fT6aYz2N9w_s90,nba,nba,tracked,3fT6aYz2N9w,90,131.932,1920x1080,1788912226,1,
4PH6yOSvcs4_s1511,nba,nba,thin,4PH6yOSvcs4,1511,134.718,1920x1080,1788857154,1,
4PH6yOSvcs4_s2932,nba,nba,thin,4PH6yOSvcs4,2932,130.564,1920x1080,1788857239,1,
4PH6yOSvcs4_s90,nba,nba,tracked,4PH6yOSvcs4,90,133.800,1920x1080,1788859224,1,
50pp-OqYVok_s1420,nba,nba,thin,50pp-OqYVok,1420,131.367,1920x1080,1788912962,1,
50pp-OqYVok_s2750,nba,nba,tracked,50pp-OqYVok,2750,133.367,1920x1080,1788912900,1,
50pp-OqYVok_s4080,nba,nba,tracked,50pp-OqYVok,4080,135.367,1920x1080,1788913186,1,
50pp-OqYVok_s5410,nba,nba,tracked,50pp-OqYVok,5410,132.033,1920x1080,1788913267,1,
50pp-OqYVok_s6740,nba,nba,thin,50pp-OqYVok,6740,134.033,1920x1080,1788912595,1,
50pp-OqYVok_s90,nba,nba,tracked,50pp-OqYVok,90,134.700,1920x1080,1788913431,1,
5PNHcMafoX8_s1436,nba,nba,tracked,5PNHcMafoX8,1436,134.301,1920x1080,1788879846,1,
5PNHcMafoX8_s2782,nba,nba,tracked,5PNHcMafoX8,2782,132.699,1920x1080,1788879493,1,
5PNHcMafoX8_s4128,nba,nba,tracked,5PNHcMafoX8,4128,132.065,1920x1080,1788880158,1,
5PNHcMafoX8_s5474,nba,nba,tracked,5PNHcMafoX8,5474,134.501,1920x1080,1788879971,1,
5PNHcMafoX8_s6820,nba,nba,tracked,5PNHcMafoX8,6820,132.632,1920x1080,1788879950,1,
5PNHcMafoX8_s90,nba,nba,tracked,5PNHcMafoX8,90,130.530,1920x1080,1788879825,1,
5TiTjV1JPW8_s401,nba,nba,tracked,5TiTjV1JPW8,401,130.731,1920x1080,1788853655,1,
5TiTjV1JPW8_s60,nba,nba,tracked,5TiTjV1JPW8,60,130.063,1920x1080,1788853655,1,
5TiTjV1JPW8_s742,nba,nba,tracked,5TiTjV1JPW8,742,131.848,1920x1080,1788853696,1,
5U9k1U6nN-g_s1207,nba,nba,tracked,5U9k1U6nN-g,1207,135.002,1920x1080,1788875665,1,
5U9k1U6nN-g_s2324,nba,nba,tracked,5U9k1U6nN-g,2324,133.500,1920x1080,1788875623,1,
5U9k1U6nN-g_s3441,nba,nba,tracked,5U9k1U6nN-g,3441,133.500,1920x1080,1788875834,1,
5U9k1U6nN-g_s4558,nba,nba,tracked,5U9k1U6nN-g,4558,133.433,1920x1080,1788876441,1,
5U9k1U6nN-g_s90,nba,nba,tracked,5U9k1U6nN-g,90,134.601,1920x1080,1788876924,1,
6FlZaoWSfFw_s155,wnba,wnba,tracked,6FlZaoWSfFw,155,130.464,1920x1080,1789064629,1,
6FlZaoWSfFw_s337,wnba,wnba,tracked,6FlZaoWSfFw,337,131.365,1920x1080,1788859711,1,
6FlZaoWSfFw_s402,wnba,wnba,tracked,6FlZaoWSfFw,402,135.736,1920x1080,1789064670,1,
6FlZaoWSfFw_s584,wnba,wnba,tracked,6FlZaoWSfFw,584,132.833,1920x1080,1788857435,1,
6FlZaoWSfFw_s649,wnba,wnba,tracked,6FlZaoWSfFw,649,128.462,1920x1080,1789064690,1,
6FlZaoWSfFw_s90,wnba,wnba,tracked,6FlZaoWSfFw,90,130.430,1920x1080,1788857307,1,
6cNq5d_NOXs_s416,nba,nba,tracked,6cNq5d_NOXs,416,130.414,1920x1080,1788854199,1,
6cNq5d_NOXs_s60,nba,nba,tracked,6cNq5d_NOXs,60,132.249,1920x1080,1788854261,1,
6cNq5d_NOXs_s772,nba,nba,tracked,6cNq5d_NOXs,772,135.085,1920x1080,1788854345,1,
7Ci3zQ5Vm4M_s1201,wnba,wnba,thin,7Ci3zQ5Vm4M,1201,132.667,1920x1080,1788913390,1,
7Ci3zQ5Vm4M_s2312,wnba,wnba,tracked,7Ci3zQ5Vm4M,2312,134.933,1920x1080,1788913370,1,
7Ci3zQ5Vm4M_s3423,wnba,wnba,tracked,7Ci3zQ5Vm4M,3423,134.733,1920x1080,1788916423,1,
7Ci3zQ5Vm4M_s5645,wnba,wnba,tracked,7Ci3zQ5Vm4M,5645,132.067,1920x1080,1788916744,1,
7Ci3zQ5Vm4M_s90,wnba,wnba,tracked,7Ci3zQ5Vm4M,90,135.733,1920x1080,1788916924,1,
7DT_8xZwDRU_s1201,nba,nba,tracked,7DT_8xZwDRU,1201,133.767,1920x1080,1789079366,1,
7DT_8xZwDRU_s2312,nba,nba,tracked,7DT_8xZwDRU,2312,131.965,1920x1080,1789079366,1,
7DT_8xZwDRU_s3423,nba,nba,tracked,7DT_8xZwDRU,3423,130.864,1920x1080,1789079448,1,
7DT_8xZwDRU_s4534,nba,nba,tracked,7DT_8xZwDRU,4534,133.033,1920x1080,1789079427,1,
7DT_8xZwDRU_s5645,nba,nba,tracked,7DT_8xZwDRU,5645,131.498,1920x1080,1789079611,1,
