geometry,sigma_px,draw,probe_index,err_m,err_modulo_m
G3_TIGHT,0.00,0,5,0.035181,0.035181
G3_TIGHT,0.00,0,6,0.036979,0.036979
G3_TIGHT,0.00,0,7,0.038843,0.038843
G3_TIGHT,0.00,0,8,0.040626,0.040626
G3_TIGHT,0.00,0,9,0.042226,0.042226
G3_TIGHT,0.00,0,10,0.043570,0.043570
G3_TIGHT,0.00,0,11,0.014943,0.014943
G3_TIGHT,0.00,0,12,0.012929,0.012929
G3_TIGHT,0.00,0,13,0.012783,0.012783
G3_TIGHT,0.00,0,14,0.014063,0.014063
G3_TIGHT,0.00,0,15,0.016046,0.016046
G3_TIGHT,0.00,0,16,0.018203,0.018203
G3_TIGHT,0.00,0,17,0.020241,0.020241
G3_TIGHT,0.00,0,18,0.022008,0.022008
G3_TIGHT,0.00,0,19,0.023427,0.023427
G3_TIGHT,0.00,0,20,0.024451,0.024451
G3_TIGHT,0.00,0,21,0.025061,0.025061
G3_TIGHT,0.00,0,22,0.005263,0.005263
G3_TIGHT,0.00,0,23,0.004020,0.004020
G3_TIGHT,0.00,0,24,0.005331,0.005331
G3_TIGHT,0.00,0,25,0.007398,0.007398
G3_TIGHT,0.00,0,26,0.009320,0.009320
G3_TIGHT,0.00,0,27,0.010870,0.010870
G3_TIGHT,0.00,0,28,0.011977,0.011977
G3_TIGHT,0.00,0,29,0.012613,0.012613
G3_TIGHT,0.00,0,30,0.012766,0.012766
G3_TIGHT,0.00,0,31,0.012428,0.012428
G3_TIGHT,0.00,0,32,0.011599,0.011599
G3_TIGHT,0.00,0,33,0.017776,0.017776
G3_TIGHT,0.00,0,34,0.017536,0.017536
G3_TIGHT,0.00,0,35,0.017423,0.017423
G3_TIGHT,0.00,0,36,0.017287,0.017287
G3_TIGHT,0.00,0,37,0.017020,0.017020
G3_TIGHT,0.00,0,38,0.016549,0.016549
G3_TIGHT,0.00,0,39,0.015834,0.015834
G3_TIGHT,0.00,0,40,0.014870,0.014870
G3_TIGHT,0.00,0,41,0.013687,0.013687
G3_TIGHT,0.00,0,42,0.012381,0.012381
G3_TIGHT,0.00,0,43,0.011152,0.011152
G3_TIGHT,0.00,0,44,0.028410,0.028410
G3_TIGHT,0.00,0,45,0.027690,0.027690
G3_TIGHT,0.00,0,46,0.026846,0.026846
G3_TIGHT,0.00,0,47,0.025853,0.025853
G3_TIGHT,0.00,0,48,0.024708,0.024708
G3_TIGHT,0.00,0,49,0.023437,0.023437
G3_TIGHT,0.00,0,50,0.022104,0.022104
G3_TIGHT,0.00,0,51,0.020825,0.020825
G3_TIGHT,0.00,0,52,0.019781,0.019781
G3_TIGHT,0.00,0,53,0.019229,0.019229
G3_TIGHT,0.00,0,54,0.019465,0.019465
G3_TIGHT,0.00,0,55,0.035984,0.035984
G3_TIGHT,0.00,0,56,0.034553,0.034553
G3_TIGHT,0.00,0,57,0.032961,0.032961
G3_TIGHT,0.00,0,58,0.031245,0.031245
G3_TIGHT,0.00,0,59,0.029470,0.029470
G3_TIGHT,0.00,0,60,0.027746,0.027746
G3_TIGHT,0.00,0,61,0.026240,0.026240
G3_TIGHT,0.00,0,62,0.025186,0.025186
G3_TIGHT,0.00,0,63,0.024867,0.024867
G3_TIGHT,0.00,0,64,0.025561,0.025561
G3_TIGHT,0.00,0,65,0.027451,0.027451
G3_TIGHT,0.00,0,66,0.040585,0.040585
G3_TIGHT,0.00,0,67,0.038254,0.038254
G3_TIGHT,0.00,0,68,0.035797,0.035797
G3_TIGHT,0.00,0,69,0.033305,0.033305
G3_TIGHT,0.00,0,70,0.030928,0.030928
G3_TIGHT,0.00,0,71,0.028889,0.028889
G3_TIGHT,0.00,0,72,0.027490,0.027490
G3_TIGHT,0.00,0,73,0.027097,0.027097
G3_TIGHT,0.00,0,74,0.028031,0.028031
G3_TIGHT,0.00,0,75,0.030450,0.030450
G3_TIGHT,0.00,0,76,0.034310,0.034310
G3_TIGHT,0.00,0,77,0.042486,0.042486
G3_TIGHT,0.00,0,78,0.039021,0.039021
G3_TIGHT,0.00,0,79,0.035485,0.035485
G3_TIGHT,0.00,0,80,0.032050,0.032050
G3_TIGHT,0.00,0,81,0.028997,0.028997
G3_TIGHT,0.00,0,82,0.026748,0.026748
G3_TIGHT,0.00,0,83,0.025850,0.025850
G3_TIGHT,0.00,0,84,0.026785,0.026785
G3_TIGHT,0.00,0,85,0.029719,0.029719
G3_TIGHT,0.00,0,86,0.034450,0.034450
G3_TIGHT,0.00,0,87,0.040636,0.040636
G3_TIGHT,0.00,0,88,0.042222,0.042222
G3_TIGHT,0.00,0,89,0.037306,0.037306
G3_TIGHT,0.00,0,90,0.032342,0.032342
G3_TIGHT,0.00,0,91,0.027613,0.027613
G3_TIGHT,0.00,0,92,0.023654,0.023654
