geometry,sigma_px,draw,symmetry_class,objective_j,source_element,enumeration_rank,candidate_hypotheses_count,deduplicated_symmetry_images_count
G1_SYNTH_QUAD,1.00,6,0,0.7165422295805198,identity,3,115836,9640
G1_SYNTH_QUAD,1.00,6,0,0.7165422295805198,mirror_x,6,115836,9640
G1_SYNTH_QUAD,1.00,6,0,0.7165422295805198,identity,7,115836,9640
G1_SYNTH_QUAD,1.00,6,0,0.7165422295805198,identity,8,115836,9640
G1_SYNTH_QUAD,1.00,6,0,0.7156293859433889,mirror_x,2,115836,9640
G1_SYNTH_QUAD,1.00,6,0,0.7156293859433889,identity,4,115836,9640
G1_SYNTH_QUAD,1.00,6,0,0.7156293859433889,mirror_x,5,115836,9640
G1_SYNTH_QUAD,1.00,9,0,0.7794278398830088,identity,1,113464,11572
G1_SYNTH_QUAD,1.00,9,0,0.7794278398830088,identity,4,113464,11572
G1_SYNTH_QUAD,1.00,9,0,0.7782960057857647,identity,2,113464,11572
G1_SYNTH_QUAD,1.00,9,0,0.7782960057857647,mirror_x,3,113464,11572
G1_SYNTH_QUAD,1.00,9,0,0.7782960057857647,mirror_x,5,113464,11572
G1_SYNTH_QUAD,1.00,9,0,0.7782960057857647,identity,6,113464,11572
G1_SYNTH_QUAD,1.00,9,0,0.7782960057857647,mirror_x,7,113464,11572
G1_SYNTH_QUAD,1.00,9,0,0.7782960057857647,identity,8,113464,11572
G1_SYNTH_QUAD,1.00,12,0,0.7849495279130025,identity,3,113144,15818
G1_SYNTH_QUAD,1.00,12,0,0.7848966205539416,identity,1,113144,15818
G1_SYNTH_QUAD,1.00,12,0,0.7841497066631988,identity,2,113144,15818
G1_SYNTH_QUAD,1.00,12,0,0.7841497066631988,identity,5,113144,15818
G1_SYNTH_QUAD,1.00,12,0,0.7841497066631988,identity,6,113144,15818
G1_SYNTH_QUAD,1.00,12,0,0.7790040442691976,mirror_x,8,113144,15818
G1_SYNTH_QUAD,1.00,12,0,0.7789511369101366,mirror_x,4,113144,15818
G1_SYNTH_QUAD,1.00,12,0,0.7782042230193938,mirror_x,7,113144,15818
G1_SYNTH_QUAD,1.00,15,0,0.7929478937657035,identity,3,120252,8790
G1_SYNTH_QUAD,1.00,15,0,0.7929478937657035,mirror_x,4,120252,8790
G1_SYNTH_QUAD,1.00,15,0,0.7929478937657035,identity,5,120252,8790
G1_SYNTH_QUAD,1.00,15,0,0.7929478937657035,mirror_x,6,120252,8790
G1_SYNTH_QUAD,1.00,15,0,0.7929478937657035,identity,8,120252,8790
G1_SYNTH_QUAD,1.00,15,0,0.7922009798749607,identity,1,120252,8790
G1_SYNTH_QUAD,1.00,15,0,0.7922009798749607,mirror_x,2,120252,8790
G1_SYNTH_QUAD,1.00,15,0,0.7922009798749607,mirror_x,7,120252,8790
G1_SYNTH_QUAD,1.00,18,0,0.6145934291820431,identity,5,104472,8847
G1_SYNTH_QUAD,1.00,18,0,0.6132731222028109,mirror_x,7,104472,8847
G1_SYNTH_QUAD,1.00,18,0,0.6049660917502552,identity,1,104472,8847
G1_SYNTH_QUAD,1.00,18,0,0.6034193182710427,mirror_x,2,104472,8847
