source_name,arm,draw_j,endpoint_definition,float_extent_s,rational_extent_s,rational_extent_exact,extent_delta_s,float_within_bar,rational_within_bar,bar_outcome_changed,serialization_explains_change,float_reason,rational_reason
nba__L7o4UCIIqS4_s5222.mp4,C_proposed_pts_stop,13,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,DEADLINE,DEADLINE
nba__L7o4UCIIqS4_s5222.mp4,C_proposed_pts_stop,13,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__oL9Uaie2v2A_s2438.mp4,A_legacy_frame_cap_3000,14,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__oL9Uaie2v2A_s2438.mp4,A_legacy_frame_cap_3000,14,last_admitted,50.033322000000,50.033322222222,4502999/90000,0.000000222222,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__oL9Uaie2v2A_s2438.mp4,B_g401_fps_frame_cap,14,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__oL9Uaie2v2A_s2438.mp4,B_g401_fps_frame_cap,14,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__oL9Uaie2v2A_s2438.mp4,C_proposed_pts_stop,14,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,DEADLINE,DEADLINE
nba__oL9Uaie2v2A_s2438.mp4,C_proposed_pts_stop,14,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
ncaa_basketball__6rQ2sV4upfc_s90.mp4,A_legacy_frame_cap_3000,15,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
ncaa_basketball__6rQ2sV4upfc_s90.mp4,A_legacy_frame_cap_3000,15,last_admitted,50.033311000000,50.033311111111,2251499/45000,0.000000111111,False,False,False,False,FRAME_CAP,FRAME_CAP
ncaa_basketball__6rQ2sV4upfc_s90.mp4,B_g401_fps_frame_cap,15,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,FRAME_CAP,FRAME_CAP
ncaa_basketball__6rQ2sV4upfc_s90.mp4,B_g401_fps_frame_cap,15,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
ncaa_basketball__6rQ2sV4upfc_s90.mp4,C_proposed_pts_stop,15,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,DEADLINE,DEADLINE
ncaa_basketball__6rQ2sV4upfc_s90.mp4,C_proposed_pts_stop,15,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
