source_id,draw_j,source,format_id,ext,resolution,height,fps,protocol,vcodec
N-AM_AtzV1s,4,metadata,160,mp4,192x144,144,30,https,avc1.4d400c
N-AM_AtzV1s,4,metadata,230,mp4,480x360,360,30.0,m3u8_native,avc1.4D401E
N-AM_AtzV1s,4,metadata,134,mp4,480x360,360,30,https,avc1.4d401e
N-AM_AtzV1s,4,metadata,605,mp4,480x360,360,30.0,m3u8_native,vp09.00.21.08
N-AM_AtzV1s,4,metadata,243,webm,480x360,360,30,https,vp9
N-AM_AtzV1s,4,metadata,231,mp4,640x480,480,30.0,m3u8_native,avc1.4D401E
N-AM_AtzV1s,4,metadata,135,mp4,640x480,480,30,https,avc1.4d401e
J6YFyipGQTQ,5,listing,sb3,mhtml,48x27,27,0.0,mhtml,images
J6YFyipGQTQ,5,listing,sb2,mhtml,80x45,45,0.0,mhtml,images
J6YFyipGQTQ,5,listing,sb1,mhtml,160x90,90,0.0,mhtml,images
J6YFyipGQTQ,5,listing,sb0,mhtml,320x180,180,0.0,mhtml,images
J6YFyipGQTQ,5,listing,602,mp4,256x144,144,13.0,m3u8,vp09.00.10.08
J6YFyipGQTQ,5,listing,269,mp4,256x144,144,25.0,m3u8,avc1.4D400C
J6YFyipGQTQ,5,listing,160,mp4,256x144,144,25.0,https,avc1.4d400c
J6YFyipGQTQ,5,listing,603,mp4,256x144,144,25.0,m3u8,vp09.00.11.08
J6YFyipGQTQ,5,listing,278,webm,256x144,144,25.0,https,vp9
J6YFyipGQTQ,5,listing,394,mp4,256x144,144,25.0,https,av01.0.00M.08
J6YFyipGQTQ,5,listing,229,mp4,426x240,240,25.0,m3u8,avc1.4D4015
J6YFyipGQTQ,5,listing,133,mp4,426x240,240,25.0,https,avc1.4d4015
J6YFyipGQTQ,5,listing,604,mp4,426x240,240,25.0,m3u8,vp09.00.20.08
J6YFyipGQTQ,5,listing,242,webm,426x240,240,25.0,https,vp9
J6YFyipGQTQ,5,listing,395,mp4,426x240,240,25.0,https,av01.0.00M.08
J6YFyipGQTQ,5,listing,230,mp4,640x360,360,25.0,m3u8,avc1.4D401E
J6YFyipGQTQ,5,listing,134,mp4,640x360,360,25.0,https,avc1.4d401e
J6YFyipGQTQ,5,listing,605,mp4,640x360,360,25.0,m3u8,vp09.00.21.08
J6YFyipGQTQ,5,listing,243,webm,640x360,360,25.0,https,vp9
J6YFyipGQTQ,5,listing,396,mp4,640x360,360,25.0,https,av01.0.01M.08
J6YFyipGQTQ,5,listing,231,mp4,854x480,480,25.0,m3u8,avc1.4D401E
J6YFyipGQTQ,5,listing,135,mp4,854x480,480,25.0,https,avc1.4d401e
J6YFyipGQTQ,5,listing,606,mp4,854x480,480,25.0,m3u8,vp09.00.30.08
J6YFyipGQTQ,5,listing,244,webm,854x480,480,25.0,https,vp9
J6YFyipGQTQ,5,listing,397,mp4,854x480,480,25.0,https,av01.0.04M.08
J6YFyipGQTQ,5,listing,232,mp4,1280x720,720,25.0,m3u8,avc1.4D401F
J6YFyipGQTQ,5,listing,136,mp4,1280x720,720,25.0,https,avc1.4d401f
J6YFyipGQTQ,5,listing,609,mp4,1280x720,720,25.0,m3u8,vp09.00.31.08
J6YFyipGQTQ,5,listing,247,webm,1280x720,720,25.0,https,vp9
J6YFyipGQTQ,5,listing,398,mp4,1280x720,720,25.0,https,av01.0.05M.08
J6YFyipGQTQ,5,listing,270,mp4,1920x1080,1080,25.0,m3u8,avc1.640028
J6YFyipGQTQ,5,listing,137,mp4,1920x1080,1080,25.0,https,avc1.640028
J6YFyipGQTQ,5,listing,614,mp4,1920x1080,1080,25.0,m3u8,vp09.00.40.08
J6YFyipGQTQ,5,listing,248,webm,1920x1080,1080,25.0,https,vp9
J6YFyipGQTQ,5,listing,399,mp4,1920x1080,1080,25.0,https,av01.0.08M.08
J6YFyipGQTQ,5,listing,616,mp4,1920x1080,1080,25.0,m3u8,vp09.00.40.08
J6YFyipGQTQ,5,metadata,sb3,mhtml,48x27,27,0.19193857965451055,mhtml,none
J6YFyipGQTQ,5,metadata,sb2,mhtml,80x45,45,0.2034548944337812,mhtml,none
J6YFyipGQTQ,5,metadata,sb1,mhtml,160x90,90,0.2034548944337812,mhtml,none
J6YFyipGQTQ,5,metadata,sb0,mhtml,320x180,180,0.2034548944337812,mhtml,none
J6YFyipGQTQ,5,metadata,233,mp4,audio only,,,m3u8_native,none
J6YFyipGQTQ,5,metadata,234,mp4,audio only,,,m3u8_native,none
J6YFyipGQTQ,5,metadata,139-drc,m4a,audio only,,,https,none
J6YFyipGQTQ,5,metadata,249-drc,webm,audio only,,,https,none
J6YFyipGQTQ,5,metadata,250-drc,webm,audio only,,,https,none
J6YFyipGQTQ,5,metadata,139,m4a,audio only,,,https,none
J6YFyipGQTQ,5,metadata,249,webm,audio only,,,https,none
J6YFyipGQTQ,5,metadata,250,webm,audio only,,,https,none
J6YFyipGQTQ,5,metadata,140-drc,m4a,audio only,,,https,none
J6YFyipGQTQ,5,metadata,251-drc,webm,audio only,,,https,none
J6YFyipGQTQ,5,metadata,140,m4a,audio only,,,https,none
J6YFyipGQTQ,5,metadata,251,webm,audio only,,,https,none
J6YFyipGQTQ,5,metadata,602,mp4,256x144,144,13.0,m3u8_native,vp09.00.10.08
J6YFyipGQTQ,5,metadata,269,mp4,256x144,144,25.0,m3u8_native,avc1.4D400C
J6YFyipGQTQ,5,metadata,160,mp4,256x144,144,25,https,avc1.4d400c
J6YFyipGQTQ,5,metadata,603,mp4,256x144,144,25.0,m3u8_native,vp09.00.11.08
J6YFyipGQTQ,5,metadata,278,webm,256x144,144,25,https,vp9
J6YFyipGQTQ,5,metadata,394,mp4,256x144,144,25,https,av01.0.00M.08
J6YFyipGQTQ,5,metadata,229,mp4,426x240,240,25.0,m3u8_native,avc1.4D4015
J6YFyipGQTQ,5,metadata,133,mp4,426x240,240,25,https,avc1.4d4015
J6YFyipGQTQ,5,metadata,604,mp4,426x240,240,25.0,m3u8_native,vp09.00.20.08
J6YFyipGQTQ,5,metadata,242,webm,426x240,240,25,https,vp9
J6YFyipGQTQ,5,metadata,395,mp4,426x240,240,25,https,av01.0.00M.08
J6YFyipGQTQ,5,metadata,230,mp4,640x360,360,25.0,m3u8_native,avc1.4D401E
J6YFyipGQTQ,5,metadata,134,mp4,640x360,360,25,https,avc1.4d401e
J6YFyipGQTQ,5,metadata,605,mp4,640x360,360,25.0,m3u8_native,vp09.00.21.08
J6YFyipGQTQ,5,metadata,243,webm,640x360,360,25,https,vp9
J6YFyipGQTQ,5,metadata,396,mp4,640x360,360,25,https,av01.0.01M.08
J6YFyipGQTQ,5,metadata,231,mp4,854x480,480,25.0,m3u8_native,avc1.4D401E
J6YFyipGQTQ,5,metadata,135,mp4,854x480,480,25,https,avc1.4d401e
J6YFyipGQTQ,5,metadata,606,mp4,854x480,480,25.0,m3u8_native,vp09.00.30.08
J6YFyipGQTQ,5,metadata,244,webm,854x480,480,25,https,vp9
J6YFyipGQTQ,5,metadata,397,mp4,854x480,480,25,https,av01.0.04M.08
J6YFyipGQTQ,5,metadata,232,mp4,1280x720,720,25.0,m3u8_native,avc1.4D401F
J6YFyipGQTQ,5,metadata,136,mp4,1280x720,720,25,https,avc1.4d401f
J6YFyipGQTQ,5,metadata,609,mp4,1280x720,720,25.0,m3u8_native,vp09.00.31.08
J6YFyipGQTQ,5,metadata,247,webm,1280x720,720,25,https,vp9
