sport,cluster_id,captured_at,source_ts,lag_seconds,source_file
mlb,822708,2026-07-12T18:14:49Z,20260712_181404,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:15:14Z,20260712_181445,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:15:56Z,20260712_181526,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:16:22Z,20260712_181555,27.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:17:05Z,20260712_181555,70.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:17:31Z,20260712_181555,96.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:18:13Z,20260712_181713,60.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:18:39Z,20260712_181713,86.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:19:22Z,20260712_181713,129.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:19:49Z,20260712_181713,156.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:20:31Z,20260712_182001,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:20:57Z,20260712_182028,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:21:39Z,20260712_182055,44.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:22:05Z,20260712_182132,33.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:22:46Z,20260712_182207,39.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:23:12Z,20260712_182254,18.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:23:53Z,20260712_182328,25.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:24:18Z,20260712_182328,50.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:25:00Z,20260712_182328,92.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:25:31Z,20260712_182328,123.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:26:12Z,20260712_182533,39.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:26:38Z,20260712_182553,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:27:20Z,20260712_182650,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:27:46Z,20260712_182650,56.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:28:27Z,20260712_182754,33.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:28:55Z,20260712_182825,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:29:37Z,20260712_182900,37.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:30:03Z,20260712_182918,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:30:45Z,20260712_183015,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:31:11Z,20260712_183015,56.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:31:51Z,20260712_183015,96.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:32:19Z,20260712_183015,124.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:33:00Z,20260712_183237,23.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:33:27Z,20260712_183303,24.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:34:09Z,20260712_183332,37.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:34:35Z,20260712_183352,43.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:35:19Z,20260712_183440,39.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:35:46Z,20260712_183520,26.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:36:32Z,20260712_183546,46.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:36:58Z,20260712_183546,72.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:37:44Z,20260712_183658,46.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:38:11Z,20260712_183727,44.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:38:58Z,20260712_183822,36.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:39:25Z,20260712_183833,52.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:40:10Z,20260712_183951,19.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:40:38Z,20260712_184009,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:41:23Z,20260712_184009,74.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:41:51Z,20260712_184009,102.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:42:36Z,20260712_184149,47.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:43:03Z,20260712_184234,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:43:49Z,20260712_184323,26.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:44:16Z,20260712_184346,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:45:02Z,20260712_184432,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
