stable_key,game_id,player_id,date,split_id,fold_status,baseline_minutes_crps,baseline_dnp_brier,baseline_dnp_logloss,baseline_pinball_q10,baseline_pinball_q50,baseline_pinball_q90,baseline_inside80,candidate_minutes_crps,candidate_dnp_brier,candidate_dnp_logloss,candidate_pinball_q10,candidate_pinball_q50,candidate_pinball_q90,candidate_inside80
0022300064|1626153,0022300064,1626153,2023-10-25,0,SCORED,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0
0022300064|1626167,0022300064,1626167,2023-10-25,0,SCORED,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0
0022300064|1627741,0022300064,1627741,2023-10-25,0,SCORED,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0
0022300064|1628398,0022300064,1628398,2023-10-25,0,SCORED,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0
0022300064|1628971,0022300064,1628971,2023-10-25,0,SCORED,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0
0022300064|1629614,0022300064,1629614,2023-10-25,0,SCORED,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0
0022300064|1629655,0022300064,1629655,2023-10-25,0,SCORED,21.0,1.0,27.631021115928547,2.1,10.5,18.900000000000002,0.0,21.0,1.0,27.631021115928547,2.1,10.5,18.900000000000002,0.0
0022300064|1629673,0022300064,1629673,2023-10-25,0,SCORED,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0
0022300064|1630166,0022300064,1630166,2023-10-25,0,SCORED,21.0,1.0,27.631021115928547,2.1,10.5,18.900000000000002,0.0,21.0,1.0,27.631021115928547,2.1,10.5,18.900000000000002,0.0
0022300064|1630167,0022300064,1630167,2023-10-25,0,SCORED,19.0,1.0,27.631021115928547,1.9000000000000001,9.5,17.1,0.0,19.0,1.0,27.631021115928547,1.9000000000000001,9.5,17.1,0.0
0022300064|1630169,0022300064,1630169,2023-10-25,0,SCORED,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0
0022300064|1630174,0022300064,1630174,2023-10-25,0,SCORED,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0
0022300064|1630188,0022300064,1630188,2023-10-25,0,SCORED,13.0,1.0,27.631021115928547,1.3,6.5,11.700000000000001,0.0,13.0,1.0,27.631021115928547,1.3,6.5,11.700000000000001,0.0
0022300064|1630215,0022300064,1630215,2023-10-25,0,SCORED,3.0,1.0,27.631021115928547,0.30000000000000004,1.5,2.7,0.0,3.0,1.0,27.631021115928547,0.30000000000000004,1.5,2.7,0.0
0022300064|1630543,0022300064,1630543,2023-10-25,0,SCORED,11.0,1.0,27.631021115928547,1.1,5.5,9.9,0.0,11.0,1.0,27.631021115928547,1.1,5.5,9.9,0.0
0022300064|1630557,0022300064,1630557,2023-10-25,0,SCORED,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0
0022300064|1631097,0022300064,1631097,2023-10-25,0,SCORED,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0
0022300064|1631116,0022300064,1631116,2023-10-25,0,SCORED,3.0,1.0,27.631021115928547,0.30000000000000004,1.5,2.7,0.0,3.0,1.0,27.631021115928547,0.30000000000000004,1.5,2.7,0.0
0022300064|1631157,0022300064,1631157,2023-10-25,0,SCORED,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0
0022300064|1641716,0022300064,1641716,2023-10-25,0,SCORED,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0
0022300064|1641731,0022300064,1641731,2023-10-25,0,SCORED,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0,23.0,1.0,27.631021115928547,2.3000000000000003,11.5,20.7,0.0
0022300064|1641767,0022300064,1641767,2023-10-25,0,SCORED,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0
0022300065|201143,0022300065,201143,2023-10-25,0,SCORED,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0
0022300065|201950,0022300065,201950,2023-10-25,0,SCORED,35.0,1.0,27.631021115928547,3.5,17.5,31.5,0.0,35.0,1.0,27.631021115928547,3.5,17.5,31.5,0.0
0022300065|203944,0022300065,203944,2023-10-25,0,SCORED,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0
0022300065|204001,0022300065,204001,2023-10-25,0,SCORED,38.0,1.0,27.631021115928547,3.8000000000000003,19.0,34.2,0.0,38.0,1.0,27.631021115928547,3.8000000000000003,19.0,34.2,0.0
0022300065|1627759,0022300065,1627759,2023-10-25,0,SCORED,38.0,1.0,27.631021115928547,3.8000000000000003,19.0,34.2,0.0,38.0,1.0,27.631021115928547,3.8000000000000003,19.0,34.2,0.0
0022300065|1628369,0022300065,1628369,2023-10-25,0,SCORED,39.0,1.0,27.631021115928547,3.9000000000000004,19.5,35.1,0.0,39.0,1.0,27.631021115928547,3.9000000000000004,19.5,35.1,0.0
0022300065|1628392,0022300065,1628392,2023-10-25,0,SCORED,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0,26.0,1.0,27.631021115928547,2.6,13.0,23.400000000000002,0.0
0022300065|1628401,0022300065,1628401,2023-10-25,0,SCORED,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0
