checkpoint_game_id,bridge_game_id,status,exclusion_reason
401705023,0022400457,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705024,0022400458,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705025,0022400459,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705026,0022400460,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705027,0022400461,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705028,0022400462,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705029,0022400463,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705030,0022400464,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705031,0022400465,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705032,0022400466,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705033,0022400467,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705034,0022400468,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705035,0022400469,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705036,0022400470,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705037,0022400471,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705038,0022400472,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705039,0022400473,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705040,0022400474,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705041,0022400475,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705042,0022400476,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705043,0022400477,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705044,0022400478,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705045,0022400479,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705046,0022400480,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705047,0022400481,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705048,0022400482,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705049,0022400483,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705050,0022400484,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705053,0022400487,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705054,0022400488,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705055,0022400489,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705056,0022400490,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705057,0022400491,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
