event_id,reason
0022500060,inplay_close_source
0022500061,null_price
0022500062,inplay_close_source
0022500063,null_price
0022500064,inplay_close_source
0022500065,null_price
0022500066,inplay_close_source
0022500067,null_price
0022500068,null_price
0022500069,inplay_close_source
0022500070,inplay_close_source
0022500071,null_price
0022500072,null_price
0022500073,null_price
0022500074,inplay_close_source
0022500529,null_price
0022500613,null_price
0022500614,null_price
0022500615,null_price
0022500616,null_price
0022500617,null_price
0022500618,null_price
0022500619,null_price
0022500627,inplay_close_source
0022500631,null_price
0022500632,null_price
0022500633,null_price
0022500634,inplay_close_source
0022500635,null_price
0022500636,null_price
0022500637,null_price
0022500638,null_price
0022500639,inplay_close_source
0022500640,inplay_close_source
0022500641,null_price
0022500642,null_price
0022500643,null_price
0022500644,inplay_close_source
0022500645,null_price
0022500646,inplay_close_source
0022500647,null_price
0022500648,null_price
0022500649,inplay_close_source
0022500650,null_price
0022500651,null_price
0022500653,inplay_close_source
0022500654,null_price
0022500655,null_price
0022500656,null_price
0022500657,inplay_close_source
0022500658,inplay_close_source
0022500659,null_price
0022500660,null_price
0022500661,null_price
0022500662,null_price
0022500663,null_price
0022500678,null_price
0022500680,null_price
0022500681,null_price
0022500682,inplay_close_source
0022500683,null_price
0022500684,inplay_close_source
0022500685,inplay_close_source
0022500686,inplay_close_source
0022500687,inplay_close_source
0022500688,null_price
0022500689,null_price
0022500690,inplay_close_source
0022500691,null_price
0022500692,inplay_close_source
0022500693,inplay_close_source
0022500694,null_price
0022500695,null_price
0022500696,inplay_close_source
0022500697,inplay_close_source
0022500698,null_price
0022500699,null_price
0022500700,inplay_close_source
0022500701,inplay_close_source
0022500702,null_price
0022500703,null_price
0022500704,inplay_close_source
0022500705,null_price
0022500706,inplay_close_source
0022500707,null_price
0022500708,null_price
0022500709,null_price
0022500710,null_price
0022500711,inplay_close_source
0022500712,null_price
0022500713,inplay_close_source
0022500714,inplay_close_source
0022500715,null_price
0022500716,null_price
0022500717,null_price
0022500718,null_price
0022500719,null_price
0022500720,null_price
0022500721,null_price
0022500722,null_price
0022500723,null_price
0022500724,null_price
0022500725,null_price
0022500726,null_price
0022500727,null_price
0022500728,null_price
0022500729,null_price
0022500730,null_price
0022500731,null_price
0022500732,null_price
0022500733,null_price
0022500734,null_price
0022500735,null_price
0022500736,null_price
0022500737,null_price
0022500738,null_price
0022500739,null_price
0022500740,null_price
0022500741,null_price
0022500742,null_price
0022500743,null_price
0022500744,null_price
0022500745,null_price
0022500746,null_price
0022500747,null_price
0022500748,null_price
