section_name,arm,mode,gate,measurement,threshold_v1,status_v1,threshold_v2,status_v2,direction
IeGm750cb90_s5520,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s5520,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s5520,A2_ID_MERGE,M1,median_step_distance,1013.8451558300212,8.408436,REJECT,76.995468,REJECT,max
IeGm750cb90_s5520,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s5520,A5_BALL_SHIFT,M1,median_step_distance,17.41864395764652,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s90,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s90,A0,M1,median_step_distance,54.68988587873898,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s90,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s90,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s90,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s90,A2_ID_MERGE,M1,median_step_distance,1078.4173589107327,8.408436,REJECT,76.995468,REJECT,max
IeGm750cb90_s90,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s90,A5_BALL_SHIFT,M1,median_step_distance,54.68988587873898,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s3306,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s3306,A0,M1,median_step_distance,14.212670403551895,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s3306,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s3306,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s3306,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s3306,A2_ID_MERGE,M1,median_step_distance,28.0,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s3306,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s3306,A5_BALL_SHIFT,M1,median_step_distance,14.212670403551895,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s4378,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s4378,A0,M1,median_step_distance,25.079872407968907,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s4378,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s4378,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s4378,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s4378,A2_ID_MERGE,M1,median_step_distance,32.01562118716424,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s4378,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s4378,A5_BALL_SHIFT,M1,median_step_distance,25.079872407968907,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s90,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s90,A0,M1,median_step_distance,3.605551275463989,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s90,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s90,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s90,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s90,A2_ID_MERGE,M1,median_step_distance,76.15773105863909,8.408436,REJECT,76.995468,PASS,max
LPDnemFoqVk_s90,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
LPDnemFoqVk_s90,A5_BALL_SHIFT,M1,median_step_distance,3.605551275463989,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s1308,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s1308,A0,M1,median_step_distance,54.08326913195984,8.408436,REJECT,76.995468,PASS,max
N-eE7ZwTuno_s1308,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s1308,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s1308,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s1308,A2_ID_MERGE,M1,median_step_distance,1410.2205501268234,8.408436,REJECT,76.995468,REJECT,max
N-eE7ZwTuno_s1308,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s1308,A5_BALL_SHIFT,M1,median_step_distance,54.08326913195984,8.408436,REJECT,76.995468,PASS,max
N-eE7ZwTuno_s2526,A0,M0,median_step_distance,5.830951894845301,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s2526,A0,M1,median_step_distance,14.560219778561036,8.408436,REJECT,76.995468,PASS,max
N-eE7ZwTuno_s2526,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s2526,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s2526,A2_ID_MERGE,M0,median_step_distance,9.055385138137417,8.408436,REJECT,76.995468,PASS,max
N-eE7ZwTuno_s2526,A2_ID_MERGE,M1,median_step_distance,30.066592756745816,8.408436,REJECT,76.995468,PASS,max
N-eE7ZwTuno_s2526,A5_BALL_SHIFT,M0,median_step_distance,5.830951894845301,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s2526,A5_BALL_SHIFT,M1,median_step_distance,14.560219778561036,8.408436,REJECT,76.995468,PASS,max
N-eE7ZwTuno_s3744,A0,M0,median_step_distance,1.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s3744,A0,M1,median_step_distance,13.45362404707371,8.408436,REJECT,76.995468,PASS,max
N-eE7ZwTuno_s3744,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
N-eE7ZwTuno_s3744,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
